"county";"party";"density"
Vermilion;Republican;49.4
Vernon;Republican;39.4
Washington;Democrat;70.4
Webster;Democrat;69.5
West Baton Rouge;Democrat;123.6
West Carroll;Republican;32.3
West Feliciana;Democrat;38.8
Winn;Democrat;16.1
Allegany;Republican;177.0
Anne Arundel;Democrat;1295.9
Baltimore;Democrat;1345.5
Calvert;Republican;416.3
Caroline;Republican;103.5
Carroll;Republican;373.4
Cecil;Republican;292.0
Charles;Democrat;320.2
Dorchester;Republican;60.3
Frederick;Republican;353.5
Garrett;Republican;46.5
Harford;Republican;560.1
Howard;Democrat;1144.9
Kent;Democrat;72.9
Montgomery;Democrat;1978.2
Prince George's;Democrat;1788.8
Queen Anne's;Republican;128.5
St. Mary's;Republican;294.4
Somerset;Republican;82.8
Talbot;Republican;140.7
Washington;Republican;322.1
Wicomico;Republican;263.7
Worcester;Republican;109.9
Baltimore City;Democrat;7671.5
Alcona;Republican;16.2
Alger;Democrat;10.5
Allegan;Republican;135.0
Alpena;Republican;51.8
Antrim;Republican;49.6
Arenac;Republican;43.8
Baraga;Republican;9.9
Barry;Republican;107.0
Bay;Democrat;243.7
Benzie;Democrat;54.8
Berrien;Republican;276.2
Branch;Republican;89.4
Calhoun;Democrat;192.8
Cass;Republican;106.7
Charlevoix;Republican;62.3
Cheboygan;Republican;36.6
Chippewa;Republican;24.7
Clare;Republican;54.8
Clinton;Democrat;133.1
Crawford;Republican;25.3
Delta;Republican;31.7
Dickinson;Republican;34.4
Eaton;Democrat;187.3
Emmet;Democrat;69.9
Genesee;Democrat;668.5
Gladwin;Republican;51.2
Gogebic;Democrat;14.9
Grand Traverse;Democrat;187.3
Gratiot;Democrat;74.7
Hillsdale;Republican;78.1
Houghton;Democrat;36.3
Huron;Republican;39.6
Ingham;Democrat;505.1
Ionia;Democrat;111.9
Iosco;Republican;47.1
Iron;Republican;10.1
Isabella;Democrat;122.8
Jackson;Republican;228.4
Kalamazoo;Democrat;445.7
Kalkaska;Republican;30.6
Kent;Democrat;711.5
Keweenaw;Democrat;4.0
Lake;Republican;20.3
Lapeer;Republican;137.4
Leelanau;Democrat;62.5
Lenawee;Republican;133.3
Livingston;Republican;320.2
Luce;Republican;7.4
Mackinac;Republican;10.9
Macomb;Republican;1754.9
Manistee;Democrat;45.6
Marquette;Democrat;37.1
Mason;Republican;58.0
Mecosta;Republican;77.1
Menominee;Republican;23.0
Midland;Republican;162.0
Missaukee;Republican;26.3
Monroe;Republican;276.7
Montcalm;Republican;89.8
Montmorency;Republican;17.9
Muskegon;Democrat;344.9
Newaygo;Republican;59.6
Oakland;Democrat;1385.7
Oceana;Republican;51.9
Ogemaw;Republican;38.5
Ontonagon;Republican;5.2
Osceola;Republican;41.5
Oscoda;Republican;15.3
Otsego;Republican;46.9
Ottawa;Republican;468.2
Presque Isle;Republican;20.3
Roscommon;Republican;47.1
Saginaw;Democrat;250.2
St. Clair;Republican;226.1
St. Joseph;Republican;122.4
Sanilac;Republican;44.8
Schoolcraft;Republican;7.2
Shiawassee;Democrat;133.1
Tuscola;Republican;69.4
Van Buren;Democrat;125.5
Washtenaw;Democrat;488.4
Wayne;Democrat;2974.4
Wexford;Republican;57.9
Adams;Democrat;69.8
Alcorn;Republican;92.6
Amite;Democrat;18.0
Attala;Democrat;26.6
Benton;Democrat;21.5
Bolivar;Democrat;39.0
Calhoun;Republican;25.5
Carroll;Republican;16.9
Chickasaw;Democrat;34.7
Choctaw;Republican;20.4
Claiborne;Democrat;19.7
Clarke;Republican;24.2
Clay;Democrat;50.3
Coahoma;Democrat;47.3
Copiah;Democrat;37.9
Covington;Republican;47.3
DeSoto;Republican;338.7
Forrest;Republican;160.7
Franklin;Republican;14.4
George;Republican;47.2
Greene;Republican;20.2
Grenada;Republican;51.9
Hancock;Republican;92.7
Harrison;Republican;326.0
Hinds;Democrat;282.0
Holmes;Democrat;25.4
Humphreys;Democrat;22.4
Issaquena;Democrat;3.4
Itawamba;Republican;43.9
Jackson;Republican;193.2
Jasper;Democrat;25.2
Jefferson;Democrat;14.9
Jeff Davis;Democrat;30.6
Jones;Republican;97.5
Kemper;Democrat;13.6
Lafayette;Republican;75.0
Lamar;Republican;112.0
Lauderdale;Republican;114.1
Lawrence;Republican;30.0
Leake;Democrat;40.8
Lee;Republican;184.3
Leflore;Democrat;54.5
Lincoln;Republican;59.5
Lowndes;Democrat;118.3
Madison;Republican;133.2
Marion;Republican;49.9
Marshall;Democrat;52.6
Monroe;Republican;48.3
Montgomery;Democrat;26.8
Neshoba;Republican;52.1
Newton;Republican;37.6
Noxubee;Democrat;16.6
Oktibbeha;Democrat;104.0
Panola;Democrat;50.7
Pearl River;Republican;68.9
Perry;Republican;18.9
Pike;Democrat;98.8
Pontotoc;Republican;60.2
Prentiss;Republican;60.9
Quitman;Democrat;20.3
Rankin;Republican;182.6
Scott;Democrat;46.4
Sharkey;Democrat;11.4
Simpson;Republican;46.7
Smith;Republican;25.9
Stone;Republican;39.9
Sunflower;Democrat;42.2
Tallahatchie;Democrat;23.8
Tate;Republican;71.4
Tippah;Republican;48.6
Tishomingo;Republican;46.2
Tunica;Democrat;23.7
Union;Republican;65.3
Walthall;Republican;38.2
Warren;Democrat;82.9
Washington;Democrat;70.6
Wayne;Republican;25.6
Webster;Republican;24.4
Wilkinson;Democrat;14.6
Winston;Democrat;31.6
Yalobusha;Democrat;27.1
Yazoo;Democrat;30.4
Adair;Republican;45.1
Andrew;Republican;40.0
Atchison;Republican;10.4
Audrain;Republican;36.9
Barry;Republican;45.7
Barton;Republican;21.0
Bates;Republican;20.4
Benton;Republican;27.1
Bollinger;Republican;20.0
Boone;Democrat;237.3
Buchanan;Republican;218.6
Butler;Republican;61.6
Caldwell;Republican;22.1
Callaway;Republican;53.1
Camden;Republican;67.1
Cape Girardeau;Republican;130.8
Carroll;Republican;13.4
Carter;Republican;12.3
Cass;Republican;142.8
Cedar;Republican;29.5
Chariton;Republican;10.4
Christian;Republican;137.6
Clark;Republican;14.1
Clay;Republican;558.6
Clinton;Republican;49.5
Cole;Republican;193.0
Cooper;Republican;31.2
Crawford;Republican;33.3
Dade;Republican;16.1
Dallas;Republican;31.0
Daviess;Republican;15.0
DeKalb;Republican;30.6
Dent;Republican;20.8
Douglas;Republican;16.8
Dunklin;Republican;59.1
Franklin;Republican;110.0
Gasconade;Republican;29.4
Gentry;Republican;13.7
Greene;Republican;407.5
Grundy;Republican;23.6
Harrison;Republican;12.4
Henry;Republican;32.0
Hickory;Republican;24.1
Holt;Republican;10.6
Howard;Republican;21.9
Howell;Republican;43.6
Iron;Republican;19.3
Jackson;Democrat;1115.3
Jasper;Republican;183.9
Jefferson;Republican;333.1
Johnson;Republican;63.4
Knox;Republican;8.2
LaClede;Republican;46.5
Lafayette;Republican;53.1
Lawrence;Republican;63.2
Lewis;Republican;20.2
Lincoln;Republican;83.9
Linn;Republican;20.7
Livingston;Republican;28.5
McDonald;Republican;42.8
Macon;Republican;19.4
Madison;Republican;24.7
Maries;Republican;17.4
Marion;Republican;65.9
Mercer;Republican;8.3
Miller;Republican;41.8
Mississippi;Republican;34.9
Moniteau;Republican;37.6
Monroe;Republican;13.6
Montgomery;Republican;22.8
Morgan;Republican;34.4
New Madrid;Republican;28.1
Newton;Republican;93.0
Nodaway;Republican;26.6
Oregon;Republican;13.8
Osage;Republican;23.0
Ozark;Republican;13.1
Pemiscot;Republican;37.1
Perry;Republican;40.0
Pettis;Republican;61.9
Phelps;Republican;67.2
Pike;Republican;27.6
Platte;Republican;212.6
Polk;Republican;49.0
Pulaski;Republican;95.5
Putnam;Republican;9.6
Ralls;Republican;21.6
Randolph;Republican;52.7
Ray;Republican;41.3
Reynolds;Republican;8.3
Ripley;Republican;22.4
St. Charles;Republican;643.2
St. Clair;Republican;14.6
Ste. Genevieve;Republican;36.4
St. Francois;Republican;144.6
St. Louis County;Democrat;1967.2
Saline;Republican;30.9
Schuyler;Republican;14.4
Scotland;Republican;11.1
Scott;Republican;93.3
Shannon;Republican;8.4
Shelby;Republican;12.7
Stoddard;Republican;36.4
Stone;Republican;69.4
Sullivan;Republican;10.4
Taney;Republican;81.7
Texas;Republican;22.1
Vernon;Republican;25.6
Warren;Republican;75.9
Washington;Republican;33.2
Wayne;Republican;17.8
Webster;Republican;61.1
Worth;Republican;8.1
Wright;Republican;27.6
St. Louis City;Democrat;5157.5
Beaverhead;Republican;1.7
Big Horn;Republican;2.6
Blaine;Republican;1.5
Broadwater;Republican;4.7
Carbon;Republican;4.9
Carter;Republican;0.3
Cascade;Republican;30.1
Chouteau;Republican;1.5
Custer;Republican;3.1
Daniels;Republican;1.2
Dawson;Republican;3.8
Deer Lodge;Democrat;12.6
Fallon;Republican;1.8
Fergus;Republican;2.7
Flathead;Republican;17.9
Gallatin;Republican;34.4
Garfield;Republican;0.3
Glacier;Democrat;4.5
Golden Valley;Republican;0.8
Granite;Republican;1.8
Hill;Republican;5.6
Jefferson;Republican;6.9
Judith Basin;Republican;1.1
Lake;Republican;19.3
Lewis and Clark;Republican;18.3
Liberty;Republican;1.6
Lincoln;Republican;5.4
McCone;Republican;0.7
Madison;Republican;2.1
Meagher;Republican;0.8
Mineral;Republican;3.5
Missoula;Democrat;42.1
Musselshell;Republican;2.4
Park;Republican;5.6
Petroleum;Republican;0.3
Phillips;Republican;0.8
Pondera;Republican;3.8
Powder River;Republican;0.5
Powell;Republican;3.0
Prairie;Republican;0.7
Ravalli;Republican;16.8
Richland;Republican;4.7
Roosevelt;Republican;4.4
Rosebud;Republican;1.8
Sanders;Republican;4.1
Sheridan;Republican;2.0
Silver Bow;Democrat;47.6
Stillwater;Republican;5.1
Sweet Grass;Republican;2.0
Teton;Republican;2.7
Toole;Republican;2.8
Treasure;Republican;0.7
Valley;Republican;1.5
Wheatland;Republican;1.5
Wibaux;Republican;1.1
Yellowstone;Republican;56.2
Adams;Republican;55.7
Antelope;Republican;7.8
Arthur;Republican;0.6
Banner;Republican;0.9
Blaine;Republican;0.7
Boone;Republican;8.0
Box Butte;Republican;10.5
Boyd;Republican;3.9
Brown;Republican;2.6
Buffalo;Republican;47.6
Burt;Republican;14.0
Butler;Republican;14.4
Cass;Republican;45.3
Cedar;Republican;12.0
Chase;Republican;4.4
Cherry;Republican;1.0
Cheyenne;Republican;8.4
Clay;Republican;11.4
Colfax;Republican;25.5
Cuming;Republican;16.0
Custer;Republican;4.2
Dakota;Republican;79.5
Dawes;Republican;6.6
Dawson;Republican;24.0
Deuel;Republican;4.4
Dixon;Republican;12.6
Dodge;Republican;69.4
Douglas;Republican;1574.4
Dundy;Republican;2.2
Fillmore;Republican;10.2
Franklin;Republican;5.6
Frontier;Republican;2.8
Furnas;Republican;6.9
Gage;Republican;26.2
Garden;Republican;1.2
Garfield;Republican;3.6
Gosper;Republican;4.5
Grant;Republican;0.8
Greeley;Republican;4.5
Hall;Republican;107.3
Hamilton;Republican;16.8
Harlan;Republican;6.2
Hayes;Republican;1.4
Hitchcock;Republican;4.1
Holt;Republican;4.3
Hooker;Republican;1.0
Howard;Republican;11.0
Jefferson;Republican;13.2
Johnson;Republican;13.9
Kearney;Republican;12.6
Keith;Republican;7.9
Keya Paha;Republican;1.1
Kimball;Republican;4.0
Knox;Republican;7.9
Lancaster;Republican;340.8
Lincoln;Republican;14.2
Logan;Republican;1.3
Loup;Republican;1.1
McPherson;Republican;0.6
Madison;Republican;60.9
Merrick;Republican;16.2
Morrill;Republican;3.5
Nance;Republican;8.5
Nemaha;Republican;17.8
Nuckolls;Republican;7.8
Otoe;Republican;25.6
Pawnee;Republican;6.4
Perkins;Republican;3.4
Phelps;Republican;17.0
Pierce;Republican;12.7
Platte;Republican;47.8
Polk;Republican;12.3
Red Willow;Republican;15.4
Richardson;Republican;15.2
Rock;Republican;1.5
Saline;Republican;24.7
Sarpy;Republican;664.6
Saunders;Republican;27.7
Scotts Bluff;Republican;50.0
Seward;Republican;29.3
Sheridan;Republican;2.2
Sherman;Republican;5.6
Sioux;Republican;0.6
Stanton;Republican;14.3
Thayer;Republican;9.1
Thomas;Republican;0.9
Thurston;Republican;17.6
Valley;Republican;7.5
Washington;Republican;51.9
Wayne;Republican;21.7
Webster;Republican;6.6
Wheeler;Republican;1.4
York;Republican;23.9
Churchill;Republican;5.0
Clark;Republican;247.3
Douglas;Republican;66.2
Elko;Republican;2.8
Esmeralda;Republican;0.2
Eureka;Republican;0.5
Humboldt;Republican;1.7
Lander;Republican;1.1
Lincoln;Republican;0.5
Lyon;Republican;26.0
Mineral;Republican;1.3
Nye;Republican;2.4
Pershing;Republican;1.1
Storey;Republican;15.3
Washoe;Republican;66.9
White Pine;Republican;1.1
Carson City;Republican;382.1
Atlantic;Republican;494.1
Bergen;Democrat;3884.5
Burlington;Democrat;561.9
Camden;Democrat;2321.5
Cape May;Republican;386.9
Cumberland;Democrat;324.4
Essex;Democrat;6211.5
Gloucester;Democrat;895.3
Hudson;Democrat;13731.4
Hunterdon;Republican;300.0
Mercer;Democrat;1632.2
Middlesex;Democrat;2621.6
Monmouth;Republican;1344.7
Morris;Republican;1069.8
Ocean;Republican;917.0
Passaic;Democrat;2715.3
Salem;Republican;199.1
Somerset;Democrat;1071.7
Sussex;Republican;287.6
Union;Democrat;5216.1
Warren;Republican;304.5
Bernalillo;Democrat;570.8
Catron;Republican;0.5
Chaves;Republican;10.8
Cibola;Democrat;6.0
Colfax;Democrat;3.7
Curry;Republican;34.4
DeBaca;Republican;0.9
Dona Ana;Democrat;55.0
Eddy;Republican;12.9
Grant;Democrat;7.4
Guadalupe;Democrat;1.5
Harding;Republican;0.3
Hidalgo;Democrat;1.4
Lea;Republican;14.7
Lincoln;Republican;4.2
Los Alamos;Democrat;164.4
Luna;Republican;8.5
McKinley;Democrat;13.1
Mora;Democrat;2.5
Otero;Republican;9.6
Quay;Republican;3.1
Rio Arriba;Democrat;6.9
Roosevelt;Republican;8.1
Sandoval;Democrat;35.5
San Juan;Republican;23.6
San Miguel;Democrat;6.2
Santa Fe;Democrat;75.5
Sierra;Republican;2.9
Socorro;Democrat;2.7
Taos;Democrat;15.0
Torrance;Republican;4.9
Union;Republican;1.2
Valencia;Democrat;71.8
Albany;Democrat;581.9
Allegany;Republican;47.6
Bronx;Democrat;32903.6
Broome;Democrat;284.2
Cattaraugus;Republican;61.4
Cayuga;Republican;115.7
Chautauqua;Republican;127.2
Chemung;Republican;218.1
Chenango;Republican;56.5
Clinton;Democrat;79.1
Columbia;Democrat;99.4
Cortland;Democrat;98.9
Delaware;Republican;33.3
Dutchess;Republican;373.9
Erie;Democrat;881.4
Essex;Democrat;21.9
Franklin;Democrat;31.7
Fulton;Republican;112.1
Genesee;Republican;121.9
Greene;Republican;76.1
Hamilton;Republican;2.8
Herkimer;Republican;45.7
Jefferson;Republican;91.6
Brooklyn;Democrat;35369.1
Lewis;Republican;21.3
Livingston;Republican;103.5
Madison;Republican;112.2
Monroe;Democrat;1132.6
Montgomery;Republican;124.6
Nassau;Democrat;4704.8
Manhattan;Democrat;69467.5
Niagara;Republican;414.4
Oneida;Republican;193.7
Onondaga;Democrat;600.0
Ontario;Republican;167.6
Orange;Republican;459.3
Orleans;Republican;109.6
Oswego;Republican;128.3
Otsego;Democrat;62.2
Putnam;Republican;432.9
Queens;Democrat;20553.6
Rensselaer;Democrat;244.4
Staten Island;Republican;8030.3
Rockland;Democrat;1795.9
Saint Lawrence;Democrat;41.8
Saratoga;Republican;271.1
Schenectady;Democrat;756.6
Schoharie;Republican;52.7
Schuyler;Republican;55.9
Seneca;Republican;108.9
Steuben;Republican;71.2
Suffolk;Republican;1637.4
Sullivan;Democrat;80.1
Tioga;Republican;98.6
Tompkins;Democrat;214.0
Ulster;Democrat;162.3
Warren;Republican;75.8
Washington;Republican;76.1
Wayne;Republican;155.3
Westchester;Democrat;2204.7
Wyoming;Republican;71.1
Yates;Republican;75.0
Alamance;Democrat;356.5
Alexander;Republican;143.1
Alleghany;Republican;47.5
Anson;Democrat;50.7
Ashe;Republican;64.0
Avery;Republican;72.0
Beaufort;Republican;57.7
Bertie;Democrat;30.4
Bladen;Democrat;40.2
Brunswick;Republican;126.8
Buncombe;Democrat;362.9
Burke;Republican;179.3
Cabarrus;Republican;492.1
Caldwell;Republican;176.1
Camden;Republican;41.5
Carteret;Republican;131.3
Caswell;Democrat;55.8
Catawba;Republican;387.1
Chatham;Democrat;93.1
Cherokee;Republican;60.3
Chowan;Democrat;85.8
Clay;Republican;49.3
Cleveland;Democrat;211.3
Columbus;Democrat;62.0
Craven;Republican;146.0
Cumberland;Democrat;489.7
Currituck;Republican;89.9
Dare;Republican;88.5
Davidson;Republican;294.7
Davie;Republican;156.2
Duplin;Democrat;71.7
Durham;Democrat;935.7
Edgecombe;Democrat;111.9
Forsyth;Democrat;859.2
Franklin;Democrat;123.3
Gaston;Republican;578.8
Gates;Democrat;35.8
Graham;Republican;30.3
Granville;Democrat;112.7
Greene;Democrat;80.3
Guilford;Democrat;756.4
Halifax;Democrat;75.5
Harnett;Republican;192.7
Haywood;Democrat;106.6
Henderson;Republican;286.1
Hertford;Democrat;69.9
Hoke;Democrat;120.2
Hyde;Democrat;9.5
Iredell;Republican;277.8
Jackson;Democrat;82.1
Johnston;Republican;213.4
Jones;Democrat;21.6
Lee;Democrat;227.0
Lenoir;Democrat;148.5
Lincoln;Republican;262.7
McDowell;Republican;102.1
Macon;Republican;65.8
Madison;Democrat;46.2
Martin;Democrat;53.1
Mecklenburg;Democrat;1755.5
Mitchell;Republican;70.4
Montgomery;Republican;56.5
Moore;Republican;126.5
Nash;Democrat;177.3
New Hanover;Republican;1058.1
Northampton;Democrat;41.2
Onslow;Republican;233.1
Orange;Democrat;336.2
Pamlico;Republican;39.1
Pasquotank;Democrat;179.2
Pender;Republican;60.0
Perquimans;Republican;54.4
Person;Democrat;100.6
Pitt;Democrat;257.9
Polk;Republican;86.3
Randolph;Republican;181.1
Richmond;Democrat;98.4
Robeson;Democrat;141.3
Rockingham;Republican;165.6
Rowan;Republican;270.7
Rutherford;Republican;120.2
Sampson;Democrat;67.1
Scotland;Democrat;113.4
Stanly;Republican;153.3
Stokes;Republican;105.6
Surry;Republican;138.4
Swain;Democrat;26.5
Transylvania;Republican;87.4
Tyrrell;Democrat;11.3
Union;Republican;318.7
Vance;Democrat;179.2
Wake;Democrat;1078.8
Warren;Democrat;48.9
Washington;Democrat;38.0
Watauga;Democrat;163.4
Wayne;Democrat;221.7
Wilkes;Republican;91.9
Wilson;Democrat;220.6
Yadkin;Republican;114.7
Yancey;Democrat;57.0
Adams;Republican;48.9
Allen;Republican;264.2
Ashland;Republican;125.6
Ashtabula;Republican;144.6
Athens;Democrat;128.6
Auglaize;Republican;114.5
Belmont;Republican;132.3
Brown;Republican;91.5
Butler;Republican;788.2
Carroll;Republican;73.1
Champaign;Republican;93.5
Clark;Republican;348.0
Clermont;Republican;436.5
Clinton;Republican;102.9
Columbiana;Republican;202.7
Coshocton;Republican;65.4
Crawford;Republican;109.0
Cuyahoga;Democrat;2800.0
Darke;Republican;88.5
Defiance;Republican;94.9
Delaware;Republican;393.2
Erie;Republican;306.4
Fairfield;Republican;289.8
Fayette;Republican;71.4
Franklin;Republican;2186.1
Fulton;Republican;105.3
Gallia;Republican;66.3
Geauga;Republican;233.4
Greene;Republican;390.5
Guernsey;Republican;76.8
Hamilton;Republican;1976.7
Hancock;Republican;140.7
Hardin;Republican;68.1
Harrison;Republican;39.4
Henry;Republican;67.8
Highland;Republican;78.8
Hocking;Republican;69.7
Holmes;Republican;100.3
Huron;Republican;121.3
Jackson;Republican;79.0
Jefferson;Republican;170.7
Knox;Republican;115.9
Lake;Republican;1011.2
Lawrence;Republican;137.7
Licking;Republican;243.9
Logan;Republican;100.0
Lorain;Republican;613.6
Lucas;Democrat;1296.2
Madison;Republican;93.2
Mahoning;Democrat;580.2
Marion;Republican;164.7
Medina;Republican;409.0
Meigs;Republican;55.3
Mercer;Republican;88.3
Miami;Republican;252.1
Monroe;Democrat;32.1
Montgomery;Republican;1159.5
Morgan;Republican;36.2
Morrow;Republican;85.8
Muskingum;Republican;129.5
Noble;Republican;36.8
Ottawa;Republican;162.5
Paulding;Republican;47.1
Perry;Republican;88.4
Pickaway;Republican;111.1
Pike;Republican;65.2
Portage;Republican;331.2
Preble;Republican;99.7
Putnam;Republican;71.5
Richland;Republican;251.3
Ross;Republican;113.3
Sandusky;Republican;149.2
Scioto;Republican;130.3
Seneca;Republican;103.0
Shelby;Republican;121.2
Stark;Republican;652.9
Summit;Republican;1312.6
Trumbull;Democrat;340.1
Tuscarawas;Republican;163.1
Union;Republican;121.1
Van Wert;Republican;70.3
Vinton;Republican;32.6
Warren;Republican;530.0
Washington;Republican;97.8
Wayne;Republican;206.4
Williams;Republican;89.4
Wood;Republican;203.3
Wyandot;Republican;55.6
Adair;Democrat;39.6
Alfalfa;Republican;6.5
Atoka;Democrat;14.5
Beaver;Republican;3.1
Beckham;Republican;24.5
Blaine;Republican;12.9
Bryan;Democrat;46.9
Caddo;Democrat;23.2
Canadian;Republican;128.9
Carter;Democrat;57.8
Cherokee;Democrat;62.7
Choctaw;Democrat;19.7
Cimarron;Republican;1.3
Cleveland;Democrat;474.7
Coal;Democrat;11.5
Comanche;Democrat;116.1
Cotton;Democrat;9.8
Craig;Democrat;19.7
Creek;Republican;73.6
Custer;Republican;27.8
Delaware;Democrat;56.2
Dewey;Republican;4.8
Ellis;Republican;3.4
Garfield;Republican;57.2
Garvin;Democrat;34.4
Grady;Republican;47.6
Grant;Republican;4.5
Greer;Democrat;9.8
Harmon;Democrat;5.4
Harper;Republican;3.5
Haskell;Democrat;22.1
Hughes;Democrat;17.4
Jackson;Republican;32.9
Jefferson;Democrat;8.5
Johnston;Democrat;17.0
Kay;Republican;50.6
Kingfisher;Republican;16.7
Kiowa;Democrat;9.3
Latimer;Democrat;15.4
LeFlore;Democrat;31.7
Lincoln;Republican;36.0
Logan;Republican;56.3
Love;Democrat;18.3
McClain;Republican;60.5
McCurtain;Democrat;17.9
McIntosh;Democrat;32.7
Major;Republican;7.9
Marshall;Democrat;42.7
Mayes;Democrat;63.0
Murray;Democrat;32.4
Muskogee;Democrat;87.6
Noble;Republican;15.8
Nowata;Democrat;18.6
Okfuskee;Democrat;19.7
Oklahoma;Democrat;1013.8
Okmulgee;Democrat;57.5
Osage;Democrat;21.1
Ottawa;Democrat;67.6
Pawnee;Democrat;29.2
Payne;Democrat;113.0
Pittsburg;Democrat;35.1
Pontotoc;Democrat;52.0
Pottawatomie;Democrat;88.2
Pushmataha;Democrat;8.3
Roger Mills;Democrat;3.2
Rogers;Republican;128.6
Seminole;Democrat;40.3
Sequoyah;Democrat;63.0
Stephens;Republican;51.8
Texas;Republican;10.1
Tillman;Democrat;9.2
Tulsa;Republican;1058.1
Wagoner;Republican;130.1
Washington;Republican;122.7
Washita;Democrat;11.6
Woods;Republican;6.9
Woodward;Republican;16.2
Baker;Republican;5.3
Benton;Democrat;126.6
Clackamas;Democrat;201.0
Clatsop;Democrat;44.7
Columbia;Democrat;75.1
Coos;Republican;39.5
Crook;Republican;7.0
Curry;Republican;13.7
Deschutes;Republican;52.3
Douglas;Republican;21.4
Gilliam;Republican;1.6
Grant;Republican;1.6
Harney;Republican;0.7
Hood River;Democrat;42.8
Jackson;Republican;73.0
Jefferson;Republican;12.2
Josephine;Republican;50.4
Klamath;Republican;11.2
Lake;Republican;1.0
Lane;Democrat;77.2
Lincoln;Democrat;47.0
Linn;Republican;50.9
Malheur;Republican;3.2
Marion;Republican;266.7
Morrow;Republican;5.5
Multnomah;Democrat;1704.9
Polk;Republican;101.8
Sherman;Republican;2.1
Tillamook;Democrat;22.9
Umatilla;Republican;23.6
Union;Republican;12.6
Wallowa;Republican;2.2
Wasco;Democrat;10.6
Washington;Democrat;731.4
Wheeler;Republican;0.8
Yamhill;Republican;138.6
Adams;Republican;195.5
Allegheny;Democrat;1675.6
Armstrong;Republican;105.5
Beaver;Democrat;392.3
Bedford;Republican;49.2
Berks;Republican;480.4
Blair;Republican;241.7
Bradford;Republican;54.6
Bucks;Republican;1034.7
Butler;Republican;233.1
Cambria;Republican;208.7
Cameron;Republican;12.8
Carbon;Republican;171.1
Centre;Democrat;138.7
Chester;Republican;664.7
Clarion;Republican;66.6
Clearfield;Republican;71.3
Clinton;Republican;44.2
Columbia;Republican;139.3
Crawford;Republican;87.7
Cumberland;Republican;431.6
Dauphin;Republican;510.6
Delaware;Democrat;3040.5
Elk;Republican;38.6
Erie;Democrat;351.1
Fayette;Democrat;172.8
Forest;Republican;18.1
Franklin;Republican;193.7
Fulton;Republican;33.9
Greene;Republican;67.2
Huntingdon;Republican;52.5
Indiana;Republican;107.5
Jefferson;Republican;69.3
Juniata;Republican;63.0
Lackawanna;Democrat;467.1
Lancaster;Republican;550.4
Lawrence;Republican;254.4
Lebanon;Republican;369.1
Lehigh;Republican;1012.5
Luzerne;Republican;360.4
Lycoming;Republican;94.5
McKean;Republican;44.4
Mercer;Republican;173.4
Mifflin;Republican;113.6
Monroe;Republican;279.2
Montgomery;Democrat;1655.9
Montour;Republican;140.3
Northampton;Republican;805.4
Northumberland;Republican;206.2
Perry;Republican;83.4
Philadelphia;Democrat;11379.5
Pike;Republican;105.3
Potter;Republican;16.1
Schuylkill;Republican;190.4
Snyder;Republican;120.8
Somerset;Republican;72.4
Sullivan;Republican;14.3
Susquehanna;Republican;52.7
Tioga;Republican;37.0
Union;Republican;142.2
Venango;Republican;81.5
Warren;Republican;47.3
Washington;Republican;242.5
Wayne;Republican;72.8
Westmoreland;Republican;355.4
Wyoming;Republican;71.2
York;Republican;481.1
Abbeville;Democrat;51.8
Aiken;Republican;149.5
Allendale;Democrat;25.5
Anderson;Republican;261.6
Bamberg;Democrat;40.6
Barnwell;Democrat;41.2
Beaufort;Democrat;281.5
Berkeley;Democrat;161.8
Calhoun;Democrat;39.8
Charleston;Democrat;382.3
Cherokee;Republican;140.9
Chester;Democrat;57.1
Chesterfield;Democrat;58.5
Clarendon;Democrat;57.6
Colleton;Democrat;36.8
Darlington;Democrat;122.4
Dillon;Democrat;79.2
Dorchester;Republican;238.2
Edgefield;Democrat;53.9
Fairfield;Democrat;34.9
Florence;Democrat;171.1
Georgetown;Democrat;73.9
Greenville;Republican;574.7
Greenwood;Democrat;153.2
Hampton;Democrat;37.7
Horry;Republican;237.5
Jasper;Democrat;37.8
Kershaw;Democrat;84.9
Lancaster;Republican;139.6
Laurens;Republican;93.2
Lee;Democrat;46.9
Lexington;Republican;375.4
McCormick;Democrat;28.5
Marion;Democrat;67.6
Marlboro;Democrat;60.3
Newberry;Democrat;59.5
Oconee;Republican;118.6
Orangeburg;Democrat;83.6
Pickens;Republican;240.2
Richland;Democrat;507.9
Saluda;Republican;43.9
Spartanburg;Republican;351.9
Sumter;Democrat;161.6
Union;Democrat;56.3
Williamsburg;Democrat;36.8
York;Republican;332.2
Aurora;Democrat;3.8
Beadle;Democrat;13.8
Bennett;Republican;2.9
Bon Homme;Republican;12.5
Brookings;Democrat;40.3
Brown;Republican;21.3
Brule;Republican;6.4
Buffalo;Democrat;4.1
Butte;Republican;4.5
Campbell;Republican;2.0
Charles Mix;Republican;8.3
Clark;Republican;3.9
Clay;Democrat;33.6
Codington;Republican;39.5
Corson;Democrat;1.6
Custer;Republican;5.3
Davison;Republican;44.8
Day;Democrat;5.6
Deuel;Democrat;7.0
Dewey;Democrat;2.3
Douglas;Republican;7.0
Edmunds;Republican;3.6
Fall River;Republican;4.1
Faulk;Republican;2.4
Grant;Republican;10.8
Gregory;Republican;4.2
Haakon;Republican;1.1
Hamlin;Republican;11.6
Hand;Republican;2.4
Hanson;Republican;7.7
Harding;Republican;0.5
