"fips";"county";"party";"STATE";"POPULATION";"DENSITY";"ALL RACES";"WHITE";"BLACK";"NATIVE";"ASIAN";"WHITE+LATINO"
37027;Caldwell;Republican;NC;81484;176.1;98.59999999999998;92.1;5.1;0.6;0.7;93.0
51187;Warren;Republican;VA;38987;176.0;97.99999999999999;91.2;5.1;0.5;1.1;91.6
1069;Houston;Republican;AL;104193;175.1;98.2;70.0;26.7;0.5;0.9;70.6
5045;Faulkner;Republican;AR;120768;174.8;97.89999999999999;84.6;11.3;0.7;1.2;85.19999999999999
42085;Mercer;Republican;PA;114884;173.4;98.4;91.6;5.9;0.2;0.7;91.89999999999999
42051;Fayette;Democrat;PA;134086;172.8;98.5;93.1;4.8;0.2;0.4;93.39999999999999
18177;Wayne;Republican;IN;67671;171.5;97.3;91.0;5.0;0.4;0.8;91.4
42025;Carbon;Republican;PA;64441;171.1;98.89999999999999;96.1;1.9;0.3;0.5;96.69999999999999
45041;Florence;Democrat;SC;139231;171.1;98.80000000000001;54.7;42.2;0.4;1.5;55.3
12119;Sumter;Republican;FL;114350;170.8;99.19999999999999;89.6;8.3;0.4;0.8;90.19999999999999
39081;Jefferson;Republican;OH;67694;170.7;98.00000000000001;91.9;5.5;0.2;0.4;92.2
18109;Morgan;Republican;IN;69693;170.5;98.89999999999999;97.5;0.5;0.3;0.6;97.7
21093;Hardin;Democrat;KY;108266;169.3;96.60000000000001;80.7;12.8;0.5;2.2;81.9
51073;Gloucester;Republican;VA;37141;169.2;97.60000000000001;87.8;8.4;0.5;0.9;88.3
18053;Grant;Republican;IN;68569;169.2;97.6;89.1;7.3;0.4;0.8;89.6
47019;Carter;Republican;TN;56886;168.3;98.89999999999999;96.6;1.6;0.3;0.4;96.8
17091;Kankakee;Republican;IL;111375;167.7;98.2;81.2;15.5;0.4;1.1;82.2
36069;Ontario;Republican;NY;109707;167.6;98.1;94.0;2.6;0.3;1.2;94.89999999999999
21209;Scott;Democrat;KY;51284;167.4;98.1;90.9;5.8;0.3;1.1;91.5
17037;DeKalb;Democrat;IL;105462;166.6;98.3;87.4;7.6;0.4;2.8;88.5
54033;Harrison;Republican;WV;68761;166.1;98.3;95.8;1.7;0.2;0.6;95.89999999999999
37157;Rockingham;Republican;NC;91696;165.6;98.29999999999998;78.1;19.0;0.5;0.6;78.80000000000001
39101;Marion;Republican;OH;65720;164.7;98.3;91.0;6.4;0.2;0.6;91.30000000000001
1095;Marshall;Republican;AL;94636;164.4;98.5;93.7;2.7;1.1;0.7;95.2
35028;Los Alamos;Democrat;NM;17682;164.4;97.5;89.0;0.7;1.3;6.4;90.3
18029;Dearborn;Republican;IN;49506;164.1;98.9;97.4;0.7;0.2;0.5;97.60000000000001
37189;Watauga;Democrat;NC;52560;163.4;98.39999999999999;95.1;1.9;0.3;1.1;95.6
39157;Tuscarawas;Republican;OH;92788;163.1;98.80000000000001;96.9;0.9;0.4;0.3;97.5
39123;Ottawa;Republican;OH;41154;162.5;98.7;97.1;1.0;0.2;0.4;97.4
36111;Ulster;Democrat;NY;180445;162.3;97.3;88.1;6.8;0.4;2.0;90.0
26111;Midland;Republican;MI;83427;162.0;98.60000000000001;94.2;1.4;0.5;2.4;94.5
13285;Troup;Republican;GA;69469;161.9;98.5;60.7;35.4;0.4;1.8;61.5
45015;Berkeley;Democrat;SC;198205;161.8;97.4;68.9;25.1;0.7;2.5;70.0
45085;Sumter;Democrat;SC;107919;161.6;98.2;49.2;47.1;0.5;1.3;50.199999999999996
12021;Collier;Republican;FL;348777;160.9;98.9;89.7;7.2;0.5;1.4;91.0
