"county","party","candidate","votes","above_65"
Queens,Democrat,Hillary Clinton,122386,13.6
Keith,Republican,Donald Trump,1253,23.2
Decatur,Republican,Donald Trump,1525,15.4
Franklin,Democrat,Hillary Clinton,650,16.9
Washakie,Democrat,Hillary Clinton,2,20.1
Schuyler,Republican,Donald Trump,697,19.7
Lafayette,Republican,Donald Trump,2518,17.9
Lake,Democrat,Bernie Sanders,2704,20.6
Sheridan,Democrat,Bernie Sanders,7,18.3
Cameron,Republican,Donald Trump,216,15.0
McCormick,Democrat,Hillary Clinton,973,29.8
Macon,Republican,Donald Trump,1489,21.0
Boyd,Republican,Donald Trump,327,28.7
Sabine,Republican,Ted Cruz,728,18.5
Meagher,Republican,Donald Trump,394,26.2
Lucas,Democrat,Hillary Clinton,32137,14.6
Beaufort,Democrat,Hillary Clinton,9945,24.1
Miller,Republican,Donald Trump,555,19.6
Sonoma,Democrat,Hillary Clinton,44923,16.7
Madison,Republican,Donald Trump,1412,26.3
Fayette,Republican,Donald Trump,2744,18.4
West Feliciana,Democrat,Hillary Clinton,902,12.6
Lincoln,Republican,Donald Trump,3235,17.1
Pulaski,Republican,Donald Trump,2821,17.7
Portsmouth,Democrat,Hillary Clinton,9464,13.9
Estill,Democrat,Hillary Clinton,446,17.1
LaRue,Democrat,Bernie Sanders,910,17.0
Sunflower,Democrat,Hillary Clinton,2332,11.6
Contra Costa,Democrat,Hillary Clinton,69809,14.2
Nelson,Democrat,Hillary Clinton,2395,13.5
Adair,Democrat,Hillary Clinton,168,22.1
Moniteau,Republican,Ted Cruz,1374,14.8
Santa Rosa,Republican,Donald Trump,16044,14.5
Lee,Republican,Donald Trump,51659,26.3
Escambia,Republican,Donald Trump,20856,15.7
Jackson,Democrat,Hillary Clinton,15,20.9
Jackson,Democrat,Bernie Sanders,3021,17.7
Gordon,Republican,Donald Trump,4339,13.3
Cerro Gordo,Democrat,Bernie Sanders,1108,19.7
Charlevoix,Republican,Donald Trump,1886,21.5
Otero,Democrat,Bernie Sanders,94,19.0
Tyrrell,Democrat,Hillary Clinton,266,19.4
Nash,Democrat,Hillary Clinton,8554,16.4
Henrico,Democrat,Hillary Clinton,28121,13.8
Christian,Republican,Ted Cruz,10586,14.3
Story,Democrat,Bernie Sanders,2737,10.7
Mississippi,Democrat,Hillary Clinton,2017,13.4
Coweta,Republican,Donald Trump,9593,12.4
Brantley,Republican,Donald Trump,1161,14.7
Franklin,Democrat,Hillary Clinton,4951,15.2
Washita,Democrat,Bernie Sanders,700,16.5
Westchester,Democrat,Hillary Clinton,69628,15.6
Osage,Republican,Donald Trump,1316,16.7
Johnson,Democrat,Bernie Sanders,1,20.6
Morehouse,Democrat,Hillary Clinton,1513,16.9
Ashley,Democrat,Hillary Clinton,1375,18.4
Teton,Republican,Donald Trump,882,22.0
Atoka,Democrat,Bernie Sanders,723,18.0
Izard,Republican,Donald Trump,873,25.0
Madison,Democrat,Hillary Clinton,1542,17.9
Kiowa,Democrat,Bernie Sanders,514,18.9
Lee,Republican,Donald Trump,3057,10.7
Pueblo,Democrat,Hillary Clinton,1260,17.1
Washington,Democrat,Hillary Clinton,1374,21.1
Callaway,Republican,Ted Cruz,3261,14.2
Brooke,Democrat,Bernie Sanders,1966,21.5
Roscommon,Republican,Donald Trump,2257,30.0
Marion,Republican,Ted Cruz,2263,16.9
Allegheny,Democrat,Hillary Clinton,122399,17.4
Pasquotank,Democrat,Hillary Clinton,2471,15.5
Buchanan,Democrat,Hillary Clinton,525,16.2
Passaic,Democrat,Hillary Clinton,29538,13.1
McDonough,Republican,Donald Trump,1599,14.9
Anson,Democrat,Hillary Clinton,2307,16.4
Fulton,Democrat,Bernie Sanders,2537,18.9
Letcher,Democrat,Bernie Sanders,1788,16.7
Dallas,Republican,Donald Trump,1672,19.6
Limestone,Republican,Donald Trump,8198,13.8
Mason,Democrat,Bernie Sanders,775,16.8
Ripley,Republican,Donald Trump,1096,19.6
Wapello,Democrat,Hillary Clinton,817,17.0
Terrell,Democrat,Hillary Clinton,804,17.7
Sauk,Democrat,Bernie Sanders,7195,17.0
Pushmataha,Democrat,Bernie Sanders,667,22.2
Wicomico,Republican,Donald Trump,6998,14.4
Troup,Republican,Donald Trump,4140,13.7
Fountain,Republican,Donald Trump,2742,19.2
Multnomah,Democrat,Bernie Sanders,87247,11.9
Geneva,Republican,Donald Trump,3106,19.2
Madison,Republican,Ted Cruz,4079,6.0
Baltimore,Democrat,Hillary Clinton,73099,15.8
Benton,Republican,Donald Trump,2278,28.8
Jim Hogg,Democrat,Hillary Clinton,1421,15.8
Oldham,Democrat,Hillary Clinton,2730,11.7
Dickinson,Democrat,Bernie Sanders,358,24.2
Tensas,Democrat,Hillary Clinton,492,19.6
Pottawattamie,Democrat,Bernie Sanders,1573,15.7
Frederick,Republican,Donald Trump,15076,12.9
Grant,Republican,Donald Trump,162,19.7
Douglas,Republican,Donald Trump,1657,22.2
Jefferson,Democrat,Hillary Clinton,1519,17.0
Pope,Republican,Donald Trump,507,21.3
Tehama,Republican,Donald Trump,3940,17.8
Oscoda,Republican,Donald Trump,705,26.1
Logan,Republican,Donald Trump,1208,19.2
Wabash,Republican,Donald Trump,977,18.9
Laurens,Republican,Donald Trump,3088,16.2
Bayfield,Democrat,Bernie Sanders,2604,23.9
Clearwater,Republican,Donald Trump,629,25.4
Green,Republican,Donald Trump,655,19.6
DeWitt,Republican,Donald Trump,1577,18.1
Hart,Republican,Donald Trump,1858,20.6
Sussex,Democrat,Hillary Clinton,958,16.2
Bonner,Republican,Ted Cruz,3132,21.4
Nicholas,Democrat,Bernie Sanders,420,17.2
Livingston,Republican,Ted Cruz,3235,17.0
Crenshaw,Republican,Donald Trump,1496,18.0
Tate,Republican,Ted Cruz,2034,15.0
Custer,Democrat,Bernie Sanders,45,29.0
Chattahoochee,Democrat,Hillary Clinton,182,4.1
Dillon,Democrat,Hillary Clinton,1615,15.0
Graves,Democrat,Bernie Sanders,2631,17.2
El Paso,Democrat,Hillary Clinton,36067,11.3
DeKalb,Democrat,Bernie Sanders,8315,11.1
Cross,Republican,Donald Trump,972,17.6
Kane,Democrat,Bernie Sanders,31085,11.7
Chilton,Republican,Donald Trump,5273,15.2
Chowan,Democrat,Hillary Clinton,974,22.4
Fremont,Democrat,Bernie Sanders,10,16.2
Madison,Democrat,Hillary Clinton,722,12.9
Adair,Democrat,Bernie Sanders,971,14.5
Hawaii,Democrat,Bernie Sanders,5605,17.5
Saline,Republican,Donald Trump,1417,16.6
Clinton,Republican,Donald Trump,1635,17.3
Miami-Dade,Democrat,Hillary Clinton,129467,15.2
Wolfe,Democrat,Bernie Sanders,499,17.8
St. Joseph,Republican,Donald Trump,19059,14.3
