"county","party","candidate","votes","above_65"
Mobile,Democrat,Hillary Clinton,28927,14.5
Pike,Republican,Donald Trump,511,18.6
Rock,Democrat,Bernie Sanders,17337,15.1
Blaine,Republican,Donald Trump,99,21.8
Citrus,Republican,Donald Trump,15232,35.2
Howell,Republican,Donald Trump,4230,18.5
Choctaw,Republican,Donald Trump,765,19.2
Greene,Republican,Donald Trump,4491,18.0
Shiawassee,Democrat,Bernie Sanders,4452,16.4
Clatsop,Democrat,Bernie Sanders,3334,19.3
St. Johns,Republican,Donald Trump,24205,18.2
St. Tammany,Republican,Donald Trump,12933,14.9
Lewis and Clark,Republican,Donald Trump,6194,16.2
Kemper,Democrat,Hillary Clinton,1008,17.2
Greene,Republican,Ted Cruz,26784,15.3
Marshall,Democrat,Hillary Clinton,287,19.8
Anne Arundel,Democrat,Hillary Clinton,35659,13.4
Burke,Democrat,Hillary Clinton,1659,14.1
Foard,Democrat,Bernie Sanders,112,24.9
Coahoma,Democrat,Hillary Clinton,2301,13.3
Twin Falls,Republican,Ted Cruz,4717,14.8
Hamilton,Republican,Donald Trump,35031,10.4
Stone,Republican,Donald Trump,993,25.4
Jefferson,Democrat,Hillary Clinton,9936,15.1
Grady,Republican,Donald Trump,1422,16.0
Carroll,Democrat,Bernie Sanders,573,14.7
Brooklyn,Democrat,Hillary Clinton,174236,12.1
Clackamas,Democrat,Bernie Sanders,27969,16.2
Owsley,Republican,Donald Trump,168,17.8
Harmon,Democrat,Bernie Sanders,167,19.4
Teller,Democrat,Bernie Sanders,219,18.0
Switzerland,Republican,Donald Trump,858,16.3
Johnson,Republican,Donald Trump,3035,11.8
Fremont,Republican,Ted Cruz,1434,16.0
Spencer,Republican,Donald Trump,2350,18.0
Nottoway,Democrat,Hillary Clinton,829,18.3
Sullivan,Republican,Donald Trump,510,18.4
St. Joseph,Republican,Ted Cruz,2655,16.5
Carroll,Republican,John Kasich,0,21.1
Hidalgo,Democrat,Hillary Clinton,515,19.1
Amite,Democrat,Hillary Clinton,1212,21.0
Jones,Republican,Donald Trump,2318,15.4
Nemaha,Republican,Donald Trump,472,18.0
Prince George's,Democrat,Hillary Clinton,113912,11.2
Reeves,Democrat,Hillary Clinton,1128,12.0
St. Bernard,Democrat,Hillary Clinton,1057,9.8
Monroe,Republican,Ted Cruz,195,19.0
Ogle,Republican,Ted Cruz,4307,17.2
Taylor,Republican,Donald Trump,140,21.1
Pulaski,Republican,Donald Trump,2802,7.6
Pulaski,Democrat,Hillary Clinton,34862,13.5
Roberts,Democrat,Bernie Sanders,397,18.1
Zavala,Democrat,Hillary Clinton,1557,12.5
Brookings,Democrat,Hillary Clinton,955,10.5
Beauregard,Republican,Ted Cruz,1363,14.4
Logan,Republican,Ted Cruz,2361,17.1
Lamar,Republican,Donald Trump,5197,11.6
Rio Grande,Democrat,Bernie Sanders,59,18.6
Mariposa,Republican,Donald Trump,1940,24.5
Barnwell,Democrat,Hillary Clinton,1560,15.9
Eaton,Democrat,Bernie Sanders,7007,16.4
Duplin,Democrat,Hillary Clinton,3036,15.8
Williamsburg,Democrat,Bernie Sanders,1197,15.8
Anderson,Democrat,Bernie Sanders,1649,14.2
Etowah,Republican,Donald Trump,8657,17.3
Liberty,Republican,Donald Trump,387,19.8
Marshall,Republican,Donald Trump,4755,16.1
Dixie,Republican,Donald Trump,1103,22.0
Butler,Republican,Donald Trump,910,20.6
Yellowstone,Republican,Donald Trump,17925,15.3
Carter,Democrat,Bernie Sanders,1051,16.5
Hopewell,Democrat,Hillary Clinton,1177,15.7
Perry,Democrat,Hillary Clinton,648,17.9
Morgan,Republican,Donald Trump,2378,18.3
Montgomery,Democrat,Bernie Sanders,1322,14.8
Wheeler,Republican,Donald Trump,283,12.8
Otoe,Republican,Donald Trump,1255,19.9
Lake,Democrat,Hillary Clinton,49750,12.2
Holmes,Republican,Donald Trump,1239,18.9
Gallatin,Democrat,Bernie Sanders,663,22.8
Newaygo,Republican,Ted Cruz,3557,17.9
Trimble,Democrat,Bernie Sanders,542,15.6
Lawrence,Republican,Donald Trump,1201,16.2
Adams,Republican,Donald Trump,354,24.9
White,Republican,Ted Cruz,4395,15.1
Saint Lawrence,Democrat,Bernie Sanders,4102,15.3
Montcalm,Republican,Donald Trump,3051,16.0
Lowndes,Democrat,Hillary Clinton,4030,14.4
Calhoun,Democrat,Hillary Clinton,1536,19.7
Fayette,Democrat,Hillary Clinton,20014,11.7
McDonald,Republican,Donald Trump,1580,14.0
Latimer,Democrat,Bernie Sanders,852,19.3
Chariton,Republican,Donald Trump,597,22.5
Appling,Republican,Donald Trump,1290,15.6
LaGrange,Republican,Donald Trump,2571,12.6
Lee,Republican,Ted Cruz,5921,14.3
St. Mary,Democrat,Hillary Clinton,1995,14.5
Jasper,Republican,Ted Cruz,11113,13.9
JoDaviess,Republican,Donald Trump,1666,24.6
Lyon,Republican,Ted Cruz,432,16.9
Beadle,Democrat,Hillary Clinton,501,16.7
Jasper,Democrat,Hillary Clinton,927,18.0
Essex,Democrat,Hillary Clinton,75071,12.4
Ida,Republican,Donald Trump,136,21.6
Crittenden,Democrat,Bernie Sanders,344,19.3
Union,Democrat,Bernie Sanders,1106,15.0
Sheridan,Republican,Donald Trump,499,20.8
Camden,Republican,Donald Trump,3065,11.3
Centre,Democrat,Bernie Sanders,10269,12.4
Independence,Republican,Donald Trump,2077,17.0
Cotton,Democrat,Bernie Sanders,388,18.2
Kendall,Democrat,Bernie Sanders,7482,9.0
Hickman,Democrat,Bernie Sanders,300,23.6
Coal,Democrat,Bernie Sanders,456,20.4
Terrell,Democrat,Hillary Clinton,67,23.0
Hempstead,Republican,Ted Cruz,917,16.3
McCurtain,Democrat,Bernie Sanders,1314,17.0
Tipton,Republican,Donald Trump,2269,19.3
Sarasota,Republican,Donald Trump,34593,33.9
Wilkes,Republican,Donald Trump,734,21.4
Caribou,Republican,Ted Cruz,602,16.8
Marshall,Democrat,Bernie Sanders,738,20.8
Lee,Democrat,Hillary Clinton,7137,10.3
Ingham,Democrat,Bernie Sanders,22909,11.9
Arapahoe,Democrat,Bernie Sanders,6086,11.9
Benton,Democrat,Bernie Sanders,11567,14.3
Craighead,Republican,Ted Cruz,4108,13.0
Sharkey,Democrat,Hillary Clinton,645,16.1
Grundy,Republican,Donald Trump,978,21.2
Wayne,Republican,Ted Cruz,171,22.3
Stone,Republican,Ted Cruz,1428,14.3
Cherokee,Democrat,Bernie Sanders,2897,15.1
Kossuth,Democrat,Hillary Clinton,360,22.5
Cuming,Republican,Donald Trump,783,21.5
Arenac,Republican,Donald Trump,1141,22.5
Johnson,Democrat,Hillary Clinton,1,20.6
Kalkaska,Republican,Donald Trump,1724,19.0
Daviess,Democrat,Bernie Sanders,5188,16.0
Hill,Republican,Donald Trump,1342,14.1
Monroe,Republican,Donald Trump,6030,20.5
Madison,Republican,Donald Trump,7540,12.3
Clear Creek,Democrat,Bernie Sanders,199,17.9
Candler,Republican,Donald Trump,897,16.7
Dunn,Democrat,Bernie Sanders,4272,14.7
Powell,Democrat,Bernie Sanders,744,14.4
Lafayette,Republican,Donald Trump,556,14.0
Fayette,Democrat,Bernie Sanders,3585,18.7
Jackson,Republican,Donald Trump,5362,15.3
Adair,Republican,Donald Trump,1512,16.4
Simpson,Republican,Donald Trump,2420,15.6
Uinta,Democrat,Bernie Sanders,5,11.0
Trigg,Democrat,Bernie Sanders,715,21.2
Hopkins,Democrat,Bernie Sanders,2696,17.1
Franklin,Republican,Donald Trump,1997,18.7
Erie,Democrat,Hillary Clinton,50199,16.5
Toombs,Republican,Donald Trump,1513,15.2
Livingston,Republican,Donald Trump,4918,11.6
Jerauld,Democrat,Hillary Clinton,96,24.9
Musselshell,Republican,Donald Trump,1032,21.3
Union,Democrat,Hillary Clinton,2548,16.6
Harris,Republican,Donald Trump,2542,16.7
Hot Spring,Republican,Donald Trump,1597,17.2
Suffolk,Democrat,Hillary Clinton,7533,13.0
Dallas,Democrat,Hillary Clinton,113574,9.7
Powell,Republican,Donald Trump,818,18.5
Montgomery,Democrat,Hillary Clinton,75333,16.4
Brown,Republican,Donald Trump,502,13.0
Rio Blanco,Democrat,Bernie Sanders,18,13.7
Lincoln,Democrat,Hillary Clinton,599,13.5
Marshall,Democrat,Hillary Clinton,3361,15.0
Itawamba,Republican,Donald Trump,1905,17.4
Montgomery,Republican,Donald Trump,2269,18.4
Trempealeau,Democrat,Bernie Sanders,2429,16.9
Larimer,Democrat,Bernie Sanders,6664,13.9
Greene,Democrat,Hillary Clinton,1643,14.8
Ohio,Democrat,Bernie Sanders,943,16.9
Marshall,Democrat,Bernie Sanders,2308,21.1
Taliaferro,Democrat,Hillary Clinton,236,22.4
Washington,Democrat,Hillary Clinton,1663,16.3
Delaware,Democrat,Hillary Clinton,44775,15.0
Dorchester,Republican,Donald Trump,2744,19.7
Calhoun,Democrat,Bernie Sanders,545,17.3
Garvin,Democrat,Bernie Sanders,1505,17.1
Madison,Democrat,Hillary Clinton,4351,14.9
Silver Bow,Democrat,Hillary Clinton,4089,17.3
Camden,Democrat,Hillary Clinton,43720,14.2
Elliott,Democrat,Bernie Sanders,443,18.3
Madison,Democrat,Bernie Sanders,18723,15.7
Isabella,Democrat,Bernie Sanders,4024,11.0
Barbour,Democrat,Hillary Clinton,2567,16.5
Andrew,Republican,Donald Trump,1457,17.5
Santa Barbara,Democrat,Hillary Clinton,23543,14.0
Johnson,Republican,Donald Trump,1075,16.1
Cleveland,Democrat,Hillary Clinton,4880,17.1
Howard,Republican,Donald Trump,534,20.2
Vernon,Republican,Donald Trump,1530,17.7
East Carroll,Democrat,Hillary Clinton,508,13.3
Dubois,Republican,Donald Trump,4692,15.9
Jackson,Republican,Donald Trump,711,16.7
Somerset,Democrat,Hillary Clinton,19667,14.1
Chickasaw,Democrat,Hillary Clinton,360,19.4
Ogemaw,Republican,Donald Trump,1612,24.3
Newton,Republican,Donald Trump,1814,17.7
Macoupin,Democrat,Bernie Sanders,3552,18.7
Antelope,Republican,Donald Trump,772,22.4
Marion,Democrat,Hillary Clinton,3359,17.1
Lake,Republican,Donald Trump,2927,19.7
Lanier,Republican,Donald Trump,512,12.1
Glades,Republican,Donald Trump,632,26.5
Blaine,Republican,Donald Trump,465,14.2
Tallahatchie,Democrat,Hillary Clinton,1341,13.5
Haralson,Republican,Donald Trump,2818,16.0
Murray,Democrat,Bernie Sanders,909,19.1
Boone,Republican,Donald Trump,3816,14.0
San Bernardino,Democrat,Hillary Clinton,71246,10.3
St. Clair,Republican,Donald Trump,962,26.1
Sampson,Democrat,Hillary Clinton,3790,16.0
Woodford,Democrat,Bernie Sanders,1918,15.7
Leon,Democrat,Hillary Clinton,27333,11.4
Kimball,Republican,Donald Trump,439,22.7
Manhattan,Democrat,Hillary Clinton,177496,14.4
Wayne,Republican,Donald Trump,6116,17.9
Martin,Republican,Donald Trump,16065,29.3
Garland,Republican,Donald Trump,5538,21.7
Blackford,Republican,Donald Trump,1019,19.8
Talbot,Republican,Donald Trump,3104,26.6
Washington,Republican,Ted Cruz,542,18.5
Crittenden,Democrat,Hillary Clinton,3379,12.1
Fairfax,Democrat,Hillary Clinton,86898,11.5
Mercer,Democrat,Hillary Clinton,29505,13.8
Bond,Republican,Donald Trump,1102,16.5
Wasco,Democrat,Bernie Sanders,1795,19.9
Prowers,Democrat,Hillary Clinton,40,16.1
Southampton,Democrat,Hillary Clinton,1199,18.0
Luce,Republican,Donald Trump,407,20.1
Boone,Democrat,Bernie Sanders,2410,16.8
Otsego,Republican,Donald Trump,1933,19.6
Culberson,Democrat,Hillary Clinton,355,16.8
Edgefield,Democrat,Hillary Clinton,1474,15.9
Hertford,Democrat,Hillary Clinton,2926,17.5
Hernando,Republican,Donald Trump,15479,27.5
Henry,Democrat,Bernie Sanders,958,16.0
Dimmit,Democrat,Hillary Clinton,1804,14.3
Fulton,Democrat,Hillary Clinton,82576,10.4
Grant,Democrat,Bernie Sanders,4484,16.3
Phelps,Republican,Donald Trump,963,20.1
Carroll,Republican,Marco Rubio,0,21.1
Barrow,Republican,Donald Trump,4653,11.2
Sequoyah,Democrat,Bernie Sanders,1872,16.9
Lafayette,Democrat,Bernie Sanders,1330,16.5
Dane,Democrat,Bernie Sanders,102585,11.9
Shelby,Democrat,Hillary Clinton,66465,11.6
Beaverhead,Republican,Donald Trump,1626,19.8
Sanilac,Republican,Donald Trump,3279,19.5
Harrisonburg,Democrat,Bernie Sanders,2911,8.1
Catahoula,Democrat,Hillary Clinton,431,15.7
Ralls,Republican,Donald Trump,961,19.3
Clay,Republican,Donald Trump,19374,14.2
Halifax,Democrat,Hillary Clinton,6224,18.3
Allegany,Republican,Donald Trump,6272,19.2
Muskegon,Democrat,Bernie Sanders,10062,15.1
Sweet Grass,Republican,Donald Trump,707,23.5
Polk,Democrat,Hillary Clinton,12122,11.7
Cleburne,Republican,Donald Trump,2120,18.4
Garfield,Democrat,Bernie Sanders,734,10.7
Fillmore,Republican,Donald Trump,574,22.9
Plaquemines,Republican,Donald Trump,705,12.2
Saline,Republican,Donald Trump,2102,19.2
Wilkinson,Democrat,Hillary Clinton,832,17.9
Ottawa,Republican,Ted Cruz,23862,13.2
Eau Claire,Democrat,Bernie Sanders,13058,14.1
Golden Valley,Republican,Donald Trump,203,24.5
Butler,Republican,Donald Trump,564,17.5
Presidio,Democrat,Hillary Clinton,776,21.0
Washington,Republican,Donald Trump,3156,15.4
Routt,Democrat,Bernie Sanders,406,12.3
Queen Anne's,Republican,Donald Trump,5195,17.3
Johnston,Democrat,Bernie Sanders,606,17.8
Pickens,Democrat,Hillary Clinton,2326,17.8
West Carroll,Republican,Ted Cruz,342,17.6
Baker,Republican,Donald Trump,2163,12.9
Chesapeake,Democrat,Hillary Clinton,16126,11.8
Phillips,Democrat,Hillary Clinton,2696,16.3
Bexar,Democrat,Hillary Clinton,76502,11.3
Palo Alto,Democrat,Hillary Clinton,213,21.4
Marion,Republican,Ted Cruz,1011,16.4
Searcy,Republican,Donald Trump,939,23.6
Atkinson,Republican,Donald Trump,619,11.8
Howard,Republican,Ted Cruz,798,17.0
Haywood,Democrat,Bernie Sanders,3873,23.7
Texas,Republican,Donald Trump,2659,19.5
Carter,Republican,Donald Trump,349,25.2
Banks,Republican,Donald Trump,1806,15.9
Pinellas,Democrat,Hillary Clinton,63699,23.0
Saguache,Democrat,Bernie Sanders,219,18.9
Clarke,Democrat,Hillary Clinton,3148,18.0
Clark,Democrat,Bernie Sanders,1888,16.3
Terrebonne,Republican,Donald Trump,3454,12.6
Ascension,Democrat,Hillary Clinton,4221,10.2
Sioux,Republican,Ted Cruz,1524,14.5
DeKalb,Republican,Donald Trump,6247,15.7
Pawnee,Democrat,Bernie Sanders,762,18.1
Hickory,Republican,Donald Trump,297,31.9
Hamilton,Democrat,Hillary Clinton,353,19.4
Huron,Republican,Donald Trump,2346,23.4
Colfax,Democrat,Hillary Clinton,949,23.7
Clay,Republican,Donald Trump,702,19.1
Collier,Republican,Donald Trump,30071,29.4
Caldwell,Republican,Donald Trump,284,16.5
Union,Democrat,Hillary Clinton,1690,18.5
Volusia,Republican,Donald Trump,34167,23.2
Yazoo,Democrat,Hillary Clinton,2203,12.4
Frontier,Republican,Donald Trump,315,21.2
Monroe,Republican,Donald Trump,2602,17.6
Dade,Republican,Donald Trump,1151,17.0
Calaveras,Republican,Donald Trump,4902,25.1
Norfolk,Democrat,Hillary Clinton,15747,9.9
Carroll,Republican,Donald Trump,1004,20.6
Newton,Republican,Donald Trump,1794,16.2
Lenoir,Democrat,Hillary Clinton,4731,17.9
Warren,Democrat,Bernie Sanders,5365,12.0
Day,Democrat,Hillary Clinton,343,24.4
McIntosh,Democrat,Bernie Sanders,1261,24.6
Woodruff,Democrat,Hillary Clinton,862,21.2
Nassau,Democrat,Hillary Clinton,70947,16.4
Mississippi,Republican,Donald Trump,970,16.2
Vermilion,Republican,Donald Trump,5021,17.4
Delaware,Republican,Donald Trump,8793,16.0
Putnam,Republican,Donald Trump,1983,21.5
Randolph,Democrat,Hillary Clinton,690,20.9
Power,Republican,Ted Cruz,421,13.9
Rockdale,Democrat,Hillary Clinton,7930,12.8
LaClede,Republican,Donald Trump,3493,16.9
Parke,Republican,Donald Trump,1996,17.1
Boundary,Republican,Ted Cruz,901,20.5
Gunnison,Democrat,Bernie Sanders,481,11.2
Benton,Democrat,Hillary Clinton,557,17.9
Greene,Republican,Donald Trump,1014,18.3
La Plata,Democrat,Bernie Sanders,1466,14.2
Randolph,Democrat,Bernie Sanders,2492,20.0
Caswell,Democrat,Hillary Clinton,1701,19.6
Sullivan,Democrat,Bernie Sanders,2671,16.8
Hampton,Democrat,Hillary Clinton,13529,13.7
Portage,Democrat,Bernie Sanders,9348,14.6
Jackson,Democrat,Hillary Clinton,48860,13.5
Polk,Republican,Donald Trump,33187,19.5
Orange,Democrat,Bernie Sanders,18096,11.2
Jefferson,Republican,Donald Trump,3077,16.3
Mingo,Democrat,Bernie Sanders,2425,15.5
Lincoln,Democrat,Bernie Sanders,4674,24.9
Whitley,Republican,Ted Cruz,4064,16.0
Gosper,Republican,Donald Trump,259,20.9
Johnson,Democrat,Bernie Sanders,5473,9.9
Franklin,Republican,Donald Trump,1229,18.0
Amador,Republican,Donald Trump,3605,25.1
Madison,Republican,Donald Trump,916,19.2
Dixon,Republican,Donald Trump,513,19.7
Richmond,Democrat,Hillary Clinton,16269,12.6
Charles,Democrat,Hillary Clinton,15132,11.0
Baca,Democrat,Hillary Clinton,15,25.7
LaSalle,Republican,Donald Trump,6950,17.6
Georgetown,Democrat,Hillary Clinton,4931,24.1
Box Butte,Republican,Donald Trump,1188,16.1
Custer,Republican,Donald Trump,1306,20.9
Buffalo,Democrat,Hillary Clinton,110,7.2
Alamance,Democrat,Hillary Clinton,7374,16.1
St. James,Democrat,Hillary Clinton,2114,15.1
Lawrence,Republican,Donald Trump,5971,18.2
Hitchcock,Republican,Donald Trump,305,23.8
Oregon,Republican,Donald Trump,941,22.1
LeFlore,Democrat,Bernie Sanders,2283,16.9
Gibson,Republican,Donald Trump,4237,16.5
Cumberland,Republican,Donald Trump,1081,17.6
Winnebago,Democrat,Bernie Sanders,230,20.4
Clark,Republican,Ted Cruz,62,14.8
Montgomery,Republican,Donald Trump,4412,16.6
Allamakee,Democrat,Hillary Clinton,304,21.3
Tuscaloosa,Democrat,Hillary Clinton,12136,11.7
Pike,Democrat,Bernie Sanders,4848,15.9
Dubuque,Democrat,Hillary Clinton,2504,16.2
Natrona,Democrat,Hillary Clinton,20,12.8
Staunton,Democrat,Bernie Sanders,1364,20.6
Randolph,Republican,Donald Trump,1887,15.4
Knox,Democrat,Bernie Sanders,3168,19.6
Meade,Democrat,Bernie Sanders,1541,12.3
Warrick,Republican,Donald Trump,7450,16.1
Greer,Democrat,Bernie Sanders,332,18.2
Person,Democrat,Hillary Clinton,2954,17.5
Monroe,Democrat,Bernie Sanders,15166,11.4
Lincoln,Republican,Donald Trump,4144,12.4
Guadalupe,Democrat,Hillary Clinton,399,17.9
Lenawee,Republican,Donald Trump,5167,16.8
Stoddard,Republican,Donald Trump,3024,19.0
Franklin,Republican,Donald Trump,333,25.7
Butler,Republican,Donald Trump,3652,17.7
Shelby,Republican,Donald Trump,5044,15.6
Edwards,Republican,Donald Trump,867,19.2
Bartholomew,Republican,Donald Trump,7918,14.9
Colleton,Democrat,Hillary Clinton,2932,18.6
Colusa,Republican,Donald Trump,1342,13.1
Greene,Republican,Donald Trump,1088,12.9
Pemiscot,Republican,Donald Trump,1155,15.3
Walthall,Republican,Donald Trump,1143,17.7
Columbia,Republican,Donald Trump,9177,11.8
Randolph,Republican,Donald Trump,2939,18.6
Ouachita,Democrat,Hillary Clinton,8995,13.3
Liberty,Democrat,Bernie Sanders,392,11.8
Teton,Democrat,Bernie Sanders,9,12.2
Champaign,Democrat,Bernie Sanders,20581,11.1
Essex,Democrat,Bernie Sanders,1932,21.0
Carter,Republican,Donald Trump,623,17.8
Lincoln,Democrat,Hillary Clinton,1692,12.3
Lincoln,Democrat,Hillary Clinton,3,14.8
Pondera,Republican,Donald Trump,930,19.6
Van Buren,Republican,Ted Cruz,196,20.8
Dakota,Republican,Donald Trump,819,12.7
Cole,Republican,Ted Cruz,6159,14.0
Fayette,Republican,Donald Trump,1933,17.1
Monroe,Republican,Donald Trump,3272,16.0
Maricopa,Republican,Donald Trump,144522,13.8
Los Alamos,Democrat,Hillary Clinton,1424,16.6
Park,Democrat,Bernie Sanders,8,20.1
Elbert,Republican,Donald Trump,1394,19.1
Gallatin,Democrat,Bernie Sanders,340,12.3
Lee,Democrat,Hillary Clinton,929,18.6
Woodford,Republican,Ted Cruz,5091,16.3
Coffee,Republican,Donald Trump,2469,12.3
Mendocino,Democrat,Bernie Sanders,4654,18.9
Lawrence,Republican,Donald Trump,3604,16.8
Napa,Democrat,Hillary Clinton,7370,16.8
Jenkins,Republican,Donald Trump,513,15.3
Niobrara,Democrat,Bernie Sanders,2,21.2
Chesterfield,Democrat,Hillary Clinton,2209,16.0
Dallas,Democrat,Hillary Clinton,8577,15.6
Zapata,Democrat,Hillary Clinton,1969,11.6
Allen,Republican,Donald Trump,640,16.1
Taylor,Democrat,Hillary Clinton,949,17.3
Yuma,Democrat,Hillary Clinton,45,17.4
Nelson,Democrat,Hillary Clinton,991,23.7
Moffat,Democrat,Bernie Sanders,28,12.9
Harford,Republican,Donald Trump,21771,14.6
Houghton,Democrat,Bernie Sanders,2039,16.1
Kosciusko,Republican,Donald Trump,8748,15.0
Warren,Republican,Donald Trump,1018,18.4
Franklin,Democrat,Bernie Sanders,5398,16.3
Ulster,Democrat,Bernie Sanders,11572,17.4
Greensville,Democrat,Hillary Clinton,832,15.1
Onondaga,Democrat,Hillary Clinton,20397,15.3
Forrest,Republican,Donald Trump,4267,12.7
Fulton,Republican,Donald Trump,2556,17.6
Avoyelles,Democrat,Hillary Clinton,1181,15.5
Charlotte,Republican,Donald Trump,16525,37.7
Broward,Democrat,Hillary Clinton,132527,15.3
Mackinac,Republican,Donald Trump,856,25.5
Levy,Republican,Donald Trump,3745,22.9
Bossier,Republican,Ted Cruz,4988,12.8
Walton,Republican,Donald Trump,6650,18.7
Muhlenberg,Democrat,Bernie Sanders,1632,17.8
Adair,Republican,Donald Trump,1404,13.6
Clayton,Democrat,Bernie Sanders,408,20.9
Pierce,Democrat,Bernie Sanders,3199,12.5
Dickinson,Republican,Donald Trump,1708,20.4
Beaver,Democrat,Hillary Clinton,12963,19.7
Allegan,Republican,Ted Cruz,7530,15.1
Ravalli,Republican,Donald Trump,6281,23.1
Rapides,Democrat,Hillary Clinton,4722,14.9
Warren,Republican,Donald Trump,2722,16.6
Robeson,Democrat,Hillary Clinton,8457,13.0
Bernalillo,Democrat,Bernie Sanders,38247,14.2
Yell,Republican,Donald Trump,911,17.1
Travis,Democrat,Bernie Sanders,73889,8.4
Hinsdale,Democrat,Bernie Sanders,10,25.7
Delaware,Democrat,Bernie Sanders,1773,23.0
Greene,Republican,Donald Trump,1555,26.2
Pontotoc,Democrat,Bernie Sanders,2392,15.7
Hamilton,Republican,Donald Trump,1030,17.8
Mecklenburg,Democrat,Hillary Clinton,71265,10.0
Hot Springs,Democrat,Hillary Clinton,1,23.6
Caldwell,Democrat,Bernie Sanders,866,19.3
Mecklenburg,Democrat,Hillary Clinton,1588,23.8
Guthrie,Democrat,Hillary Clinton,220,21.7
Johnson,Republican,Donald Trump,1338,15.8
Baker,Democrat,Hillary Clinton,303,17.8
Boulder,Democrat,Bernie Sanders,11142,12.2
Jefferson,Republican,Donald Trump,1648,18.7
Hardee,Republican,Donald Trump,1113,14.8
Perkins,Republican,Donald Trump,331,21.9
Mono,Democrat,Bernie Sanders,917,11.8
Dawson,Republican,Donald Trump,2649,17.9
Cascade,Republican,Donald Trump,8129,16.9
Brevard,Republican,Donald Trump,45483,22.6
Yankton,Democrat,Hillary Clinton,706,17.5
Platte,Republican,Donald Trump,2902,15.7
Tattnall,Republican,Donald Trump,1089,12.5
Clay,Democrat,Hillary Clinton,960,21.4
Cuyahoga,Democrat,Hillary Clinton,125914,16.4
Broome,Democrat,Bernie Sanders,9176,17.5
Weld,Democrat,Bernie Sanders,1647,11.1
Oglala Lakota,Democrat,Bernie Sanders,574,6.8
Lonoke,Republican,Ted Cruz,4028,12.6
Camas,Republican,Donald Trump,130,18.6
Wake,Democrat,Hillary Clinton,77927,10.0
Grand,Democrat,Bernie Sanders,636,15.9
Columbia,Democrat,Bernie Sanders,4221,17.1
Bracken,Democrat,Bernie Sanders,424,15.4
Sullivan,Republican,Donald Trump,2379,16.3
Riverside,Republican,Donald Trump,82814,13.2
Jackson,Democrat,Hillary Clinton,827,18.3
Bladen,Democrat,Hillary Clinton,3442,18.7
San Mateo,Democrat,Hillary Clinton,47358,14.7
Carroll,Republican,Donald Trump,7495,12.5
Plumas,Republican,Donald Trump,2588,24.7
Brewster,Democrat,Bernie Sanders,771,19.4
Valencia,Democrat,Hillary Clinton,3123,15.4
Monongalia,Democrat,Bernie Sanders,8096,10.8
Mercer,Republican,Donald Trump,455,20.8
New Madrid,Republican,Donald Trump,1376,17.6
Pike,Republican,Donald Trump,2493,14.1
Marshall,Democrat,Bernie Sanders,960,17.5
Covington,Republican,Donald Trump,1724,17.0
Franklin City,Democrat,Hillary Clinton,831,17.5
Iron,Republican,Donald Trump,868,28.2
Granite,Republican,Donald Trump,487,28.9
Hall,Republican,Donald Trump,3818,14.2
Richland,Republican,Donald Trump,1469,20.0
Door,Democrat,Bernie Sanders,3417,26.4
Greenlee,Democrat,Hillary Clinton,497,11.6
Noxubee,Democrat,Hillary Clinton,1397,15.7
McCreary,Republican,Donald Trump,725,14.0
Kenedy,Democrat,Hillary Clinton,63,15.3
Big Horn,Democrat,Hillary Clinton,2,19.2
Ware,Republican,Donald Trump,1998,16.2
Costilla,Democrat,Hillary Clinton,64,25.8
Jones,Democrat,Bernie Sanders,480,18.5
Sevier,Republican,Donald Trump,593,13.6
Jackson,Republican,Donald Trump,582,15.6
Sangamon,Republican,Ted Cruz,12261,15.5
Washington,Republican,Donald Trump,1666,15.4
Cochise,Republican,Donald Trump,6339,19.9
Montgomery,Democrat,Hillary Clinton,953,19.0
LaSalle,Republican,Donald Trump,577,15.9
Kent,Republican,Donald Trump,8294,15.6
Okfuskee,Democrat,Bernie Sanders,596,17.0
Fairfield,Democrat,Hillary Clinton,3260,18.0
Menominee,Democrat,Bernie Sanders,355,12.6
Wayne,Democrat,Hillary Clinton,7546,14.5
Huerfano,Democrat,Bernie Sanders,150,29.7
Big Horn,Republican,Donald Trump,1087,11.4
Union,Republican,Donald Trump,2691,31.3
Chippewa,Republican,Donald Trump,1959,16.1
Tama,Democrat,Hillary Clinton,476,19.2
Pierce,Republican,Donald Trump,617,18.0
Allen,Democrat,Hillary Clinton,536,13.3
Genesee,Democrat,Hillary Clinton,31284,15.7
Issaquena,Democrat,Hillary Clinton,175,13.7
Wilkinson,Democrat,Hillary Clinton,1269,15.5
Mesa,Democrat,Bernie Sanders,1095,16.9
Val Verde,Democrat,Hillary Clinton,1777,13.8
Adams,Republican,Donald Trump,5233,18.7
Kleberg,Democrat,Hillary Clinton,1738,12.4
Lincoln,Republican,Donald Trump,2950,15.6
Montgomery,Democrat,Bernie Sanders,5090,11.0
Denver,Democrat,Bernie Sanders,14624,10.9
Lowndes,Republican,Donald Trump,5194,11.0
Dallas,Republican,Marco Rubio,2469,11.2
Clinton,Democrat,Bernie Sanders,4301,15.2
Scott,Democrat,Bernie Sanders,4144,14.4
Butte,Republican,Ted Cruz,275,19.6
Lane,Democrat,Bernie Sanders,41883,17.4
Loup,Republican,Donald Trump,101,24.8
Iberia,Democrat,Hillary Clinton,2171,13.3
