"county","party","candidate","votes","more_language"
Wayne,Republican,Donald Trump,1376,1.0
O'Brien,Republican,Ted Cruz,347,4.5
Harmon,Democrat,Bernie Sanders,167,21.0
Missoula,Democrat,Bernie Sanders,13271,4.6
Luce,Republican,Donald Trump,407,3.7
Alcona,Republican,Donald Trump,1111,2.3
Natchitoches,Democrat,Hillary Clinton,2545,2.3
Carroll,Republican,Donald Trump,1133,1.6
Des Moines,Democrat,Bernie Sanders,1066,2.6
Audubon,Democrat,Hillary Clinton,187,1.2
Alexandria,Democrat,Hillary Clinton,16281,31.1
Stoddard,Republican,Donald Trump,3024,1.7
Carroll,Republican,Donald Trump,16534,4.9
Franklin,Democrat,Bernie Sanders,2338,7.7
Nodaway,Republican,Donald Trump,1268,3.6
Weston,Democrat,Bernie Sanders,1,1.7
Lake,Republican,Donald Trump,803,2.1
McDuffie,Republican,Donald Trump,1288,2.7
Nicholas,Democrat,Bernie Sanders,420,4.6
Madison,Democrat,Bernie Sanders,18723,3.3
Hawaii,Democrat,Bernie Sanders,5605,18.7
Orange,Democrat,Hillary Clinton,66654,33.5
Emmet,Democrat,Hillary Clinton,168,8.0
St. Joseph,Republican,Ted Cruz,2655,9.9
Dale,Republican,Donald Trump,4151,6.3
Beaver,Democrat,Hillary Clinton,12963,3.5
Grant,Democrat,Bernie Sanders,4484,4.4
Warren,Democrat,Bernie Sanders,5365,10.0
Blaine,Republican,Donald Trump,465,4.6
Dinwiddie,Democrat,Hillary Clinton,1935,2.7
Winn,Democrat,Hillary Clinton,488,2.3
Kalamazoo,Democrat,Bernie Sanders,20146,7.0
Benzie,Democrat,Bernie Sanders,1650,4.4
Dallas,Democrat,Hillary Clinton,693,3.4
Logan,Democrat,Bernie Sanders,3201,1.2
East Carroll,Democrat,Hillary Clinton,508,2.8
Navajo,Democrat,Hillary Clinton,4415,36.8
Madison,Republican,Donald Trump,2460,4.9
La Salle,Democrat,Hillary Clinton,557,62.4
Valley,Republican,Donald Trump,1250,1.8
Covington,Democrat,Hillary Clinton,244,3.4
Texas,Republican,Donald Trump,2659,2.1
Morgan,Republican,Donald Trump,1976,7.6
San Joaquin,Democrat,Hillary Clinton,25118,39.9
Mecklenburg,Democrat,Hillary Clinton,71265,18.2
Benewah,Republican,Ted Cruz,671,3.3
Sheridan,Democrat,Bernie Sanders,7,4.8
Callaway,Republican,Ted Cruz,3261,2.5
Tift,Republican,Donald Trump,2697,11.7
Mecklenburg,Democrat,Hillary Clinton,1588,2.4
Broward,Democrat,Hillary Clinton,132527,37.8
Gasconade,Republican,Donald Trump,1429,1.8
Edgecombe,Democrat,Hillary Clinton,6411,3.9
Cass,Republican,Donald Trump,1811,3.4
Pierce,Republican,Donald Trump,617,2.1
Simpson,Democrat,Hillary Clinton,708,2.9
Plumas,Republican,Donald Trump,2588,9.7
Anderson,Democrat,Bernie Sanders,1649,2.7
Henry,Republican,Donald Trump,1636,2.0
Mineral,Democrat,Bernie Sanders,25,3.2
Alamance,Democrat,Hillary Clinton,7374,11.8
Haywood,Democrat,Bernie Sanders,3873,3.5
Silver Bow,Democrat,Hillary Clinton,4089,4.1
Rio Grande,Democrat,Bernie Sanders,59,25.0
Appling,Republican,Donald Trump,1290,10.1
Cibola,Democrat,Hillary Clinton,1586,44.3
Schoolcraft,Republican,Donald Trump,529,2.7
Richmond,Democrat,Hillary Clinton,333,9.5
Washtenaw,Democrat,Bernie Sanders,38063,14.2
Pointe Coupee,Democrat,Hillary Clinton,1680,4.7
Webster,Republican,Donald Trump,1191,1.3
Plaquemines,Republican,Donald Trump,705,8.2
Madera,Republican,Donald Trump,8247,44.1
Clay,Democrat,Bernie Sanders,754,0.8
Webb,Democrat,Hillary Clinton,18559,91.3
Okeechobee,Republican,Donald Trump,2202,24.3
Madison,Republican,Donald Trump,23791,7.1
Conejos,Democrat,Hillary Clinton,73,34.5
El Paso,Democrat,Bernie Sanders,4954,11.6
Grant,Republican,Donald Trump,722,5.6
Corson,Democrat,Bernie Sanders,148,17.2
Banner,Republican,Donald Trump,108,4.0
Gibson,Republican,Donald Trump,4237,2.0
Rush,Republican,Donald Trump,2362,2.2
Haywood,Democrat,Hillary Clinton,1197,3.4
Iroquois,Republican,Donald Trump,2836,6.3
Clay,Democrat,Bernie Sanders,303,3.7
Ravalli,Republican,Donald Trump,6281,3.8
Lawrence,Democrat,Bernie Sanders,659,1.4
Gladwin,Republican,Donald Trump,1774,4.9
Deuel,Republican,Donald Trump,274,4.8
Russell,Republican,Donald Trump,1106,1.7
Bryan,Democrat,Bernie Sanders,1913,5.4
Montgomery,Democrat,Hillary Clinton,75333,12.5
Pickens,Republican,Donald Trump,3360,3.9
Dunn,Democrat,Bernie Sanders,4272,4.1
Marion,Republican,Donald Trump,31370,11.9
Box Butte,Republican,Donald Trump,1188,5.3
Petroleum,Republican,Donald Trump,167,0.8
Bolivar,Democrat,Hillary Clinton,3029,3.0
Tuolumne,Republican,Donald Trump,4949,7.6
Jones,Democrat,Bernie Sanders,480,2.8
Erie,Democrat,Hillary Clinton,19511,6.5
Hamilton,Democrat,Hillary Clinton,758,8.8
St. Martin,Democrat,Hillary Clinton,1869,19.1
Whitley,Republican,Ted Cruz,4064,2.2
McCurtain,Democrat,Bernie Sanders,1314,4.0
Shiawassee,Democrat,Bernie Sanders,4452,2.4
Gosper,Republican,Donald Trump,259,2.1
Crenshaw,Republican,Donald Trump,1496,3.2
Otsego,Democrat,Bernie Sanders,2623,5.7
Terrell,Democrat,Hillary Clinton,67,49.3
Acadia,Democrat,Hillary Clinton,1862,14.5
Chesterfield,Democrat,Hillary Clinton,22674,10.6
King and Queen,Democrat,Hillary Clinton,477,4.5
Garland,Republican,Donald Trump,5538,5.6
Treutlen,Republican,Donald Trump,437,1.2
Keya Paha,Republican,Donald Trump,203,0.9
Graham,Republican,Ted Cruz,1606,20.1
Plymouth,Republican,Donald Trump,618,4.9
Jay,Republican,Donald Trump,2194,4.6
Hopkins,Democrat,Bernie Sanders,2696,2.7
Lee,Democrat,Hillary Clinton,7137,6.9
Clark,Republican,Ted Cruz,62,37.8
Eau Claire,Democrat,Bernie Sanders,13058,5.9
Quitman,Democrat,Hillary Clinton,986,2.7
Marshall,Democrat,Bernie Sanders,960,18.4
Chickasaw,Democrat,Hillary Clinton,360,4.2
Broadwater,Republican,Donald Trump,1001,1.2
Lawrence,Democrat,Hillary Clinton,933,1.4
Johnson,Republican,Donald Trump,17218,5.7
Cherokee,Republican,Donald Trump,248,3.2
Osage,Democrat,Hillary Clinton,2390,3.4
Baxter,Republican,Donald Trump,3798,2.5
Meagher,Republican,Donald Trump,394,1.8
Marshall,Democrat,Hillary Clinton,3361,2.8
Clarke,Democrat,Hillary Clinton,232,8.8
Wabash,Republican,Donald Trump,3932,3.4
Garden,Republican,Donald Trump,372,1.9
Lucas,Democrat,Hillary Clinton,32137,6.0
Fannin,Republican,Donald Trump,3001,3.1
Mendocino,Democrat,Bernie Sanders,4654,21.2
Lake,Democrat,Bernie Sanders,2704,14.2
Costilla,Democrat,Hillary Clinton,64,50.1
Woodford,Republican,Ted Cruz,5091,2.3
Lewis,Republican,Donald Trump,286,4.7
Carroll,Republican,Marco Rubio,0,13.6
Hancock,Democrat,Bernie Sanders,573,1.8
Spencer,Republican,Donald Trump,2350,3.8
Stillwater,Republican,Donald Trump,1658,1.5
Lee,Democrat,Hillary Clinton,956,1.0
Muhlenberg,Democrat,Bernie Sanders,1632,1.6
Orange,Democrat,Bernie Sanders,18096,15.9
Chicot,Democrat,Hillary Clinton,1370,5.0
Wexford,Republican,Donald Trump,2578,3.1
Stephenson,Republican,Ted Cruz,3038,3.6
Crittenden,Democrat,Hillary Clinton,3379,2.9
St. Lucie,Republican,Donald Trump,18350,20.5
Tillamook,Democrat,Bernie Sanders,2207,7.7
Randolph,Democrat,Bernie Sanders,2492,1.0
Teton,Republican,Donald Trump,882,3.9
Coles,Republican,Donald Trump,3156,4.1
San Francisco,Democrat,Hillary Clinton,85070,45.0
Osceola,Democrat,Hillary Clinton,16512,47.8
Caldwell,Republican,Donald Trump,780,1.7
Monroe,Republican,Donald Trump,698,3.4
Clark,Democrat,Hillary Clinton,1650,5.2
Hendry,Republican,Donald Trump,1290,44.8
Evangeline,Democrat,Hillary Clinton,1319,21.3
Pike,Republican,Donald Trump,511,5.5
Pima,Democrat,Hillary Clinton,56317,28.5
Bradley,Republican,Donald Trump,770,10.2
Pulaski,Democrat,Hillary Clinton,34862,7.9
Emporia,Democrat,Hillary Clinton,404,3.5
Ottawa,Republican,Ted Cruz,23862,9.8
Manatee,Republican,Donald Trump,26320,16.5
Goshen,Democrat,Hillary Clinton,3,6.7
Shelby,Republican,Donald Trump,5044,4.4
Webster,Republican,Ted Cruz,4124,7.4
Clare,Republican,Donald Trump,1996,3.9
Perkins,Republican,Donald Trump,331,3.4
Randolph,Democrat,Hillary Clinton,690,2.9
Schuyler,Republican,Donald Trump,697,1.8
Toombs,Republican,Donald Trump,1513,10.0
Greene,Democrat,Hillary Clinton,215,1.9
Alexander,Democrat,Hillary Clinton,770,2.5
Polk,Democrat,Hillary Clinton,12122,12.5
Marshall,Republican,Donald Trump,4755,10.8
St. Clair,Democrat,Hillary Clinton,20987,4.8
Ripley,Republican,Donald Trump,1096,1.4
Chaffee,Democrat,Bernie Sanders,404,6.3
Ohio,Republican,Donald Trump,786,1.5
Switzerland,Republican,Donald Trump,858,5.0
Flagler,Republican,Donald Trump,9684,15.5
Taylor,Republican,Donald Trump,140,8.1
Parke,Republican,Donald Trump,1996,6.3
Greene,Republican,Donald Trump,4491,1.2
Wilkes,Republican,Donald Trump,734,4.3
Johnson,Republican,Donald Trump,684,1.9
Pulaski,Republican,Donald Trump,673,5.9
Nevada,Democrat,Bernie Sanders,8472,7.7
Iron,Republican,Donald Trump,868,3.6
Ashland,Democrat,Bernie Sanders,2304,3.4
Carroll,Republican,Donald Trump,2421,4.6
Bacon,Republican,Donald Trump,904,8.6
Sharkey,Democrat,Hillary Clinton,645,0.9
Marshall,Republican,Ted Cruz,1095,3.4
Dade,Republican,Donald Trump,1151,1.8
Modoc,Republican,Donald Trump,1019,12.8
Duplin,Democrat,Hillary Clinton,3036,19.0
Eaton,Democrat,Bernie Sanders,7007,6.1
Carroll,Democrat,Bernie Sanders,573,7.7
Brooks,Democrat,Hillary Clinton,1603,65.9
Mobile,Democrat,Hillary Clinton,28927,5.0
St. Tammany,Republican,Donald Trump,12933,6.0
Oklahoma,Democrat,Hillary Clinton,34255,16.2
Tehama,Republican,Donald Trump,3940,18.8
Lauderdale,Republican,Donald Trump,4740,3.1
Columbia,Republican,Donald Trump,4019,7.2
Montgomery,Democrat,Hillary Clinton,953,0.3
Sweetwater,Democrat,Bernie Sanders,12,9.8
Columbia,Democrat,Bernie Sanders,3302,6.9
Keokuk,Democrat,Hillary Clinton,250,1.8
Brooks,Republican,Donald Trump,1009,6.8
Gunnison,Democrat,Bernie Sanders,481,9.2
Glenn,Republican,Donald Trump,1699,36.1
Poweshiek,Democrat,Bernie Sanders,475,4.6
West Carroll,Republican,Ted Cruz,342,2.3
Baca,Democrat,Hillary Clinton,15,5.2
Talladega,Republican,Donald Trump,6304,2.8
Pondera,Republican,Donald Trump,930,9.0
Otoe,Republican,Donald Trump,1255,4.9
Jackson,Democrat,Hillary Clinton,2798,5.7
Robeson,Democrat,Hillary Clinton,8457,8.8
Otero,Democrat,Bernie Sanders,94,18.5
Bay,Democrat,Bernie Sanders,6363,3.4
Northampton,Democrat,Hillary Clinton,3195,2.5
Solano,Democrat,Hillary Clinton,31753,29.6
Jefferson,Democrat,Hillary Clinton,64090,8.3
Granite,Republican,Donald Trump,487,2.8
Screven,Republican,Donald Trump,801,1.8
Logan,Democrat,Bernie Sanders,1131,3.9
Jefferson,Democrat,Bernie Sanders,654,11.1
Idaho County,Republican,Donald Trump,1668,2.3
Stewart,Democrat,Hillary Clinton,460,14.8
Franklin,Democrat,Hillary Clinton,650,0.8
Henderson,Republican,Donald Trump,516,2.4
Summit,Democrat,Bernie Sanders,419,15.2
Pittsburg,Democrat,Bernie Sanders,3026,4.0
Union,Democrat,Bernie Sanders,268,2.0
Morehouse,Democrat,Hillary Clinton,1513,1.6
Hitchcock,Republican,Donald Trump,305,2.4
Franklin,Republican,Donald Trump,333,1.9
Clatsop,Democrat,Bernie Sanders,3334,8.2
Franklin,Republican,Donald Trump,761,1.1
Cole,Republican,Ted Cruz,6159,4.6
Athens,Democrat,Bernie Sanders,5663,4.8
Putnam,Republican,Donald Trump,5119,8.9
Carroll,Republican,Ted Cruz,0,13.6
Estill,Democrat,Hillary Clinton,446,0.9
Clay,Republican,Donald Trump,887,1.9
Izard,Republican,Donald Trump,873,2.5
Santa Rosa,Republican,Donald Trump,16044,6.5
Moniteau,Republican,Ted Cruz,1374,8.2
Wabash,Republican,Donald Trump,977,2.5
Camas,Republican,Donald Trump,130,16.8
Edgefield,Democrat,Hillary Clinton,1474,5.9
Bullitt,Democrat,Bernie Sanders,3210,1.7
Newaygo,Republican,Ted Cruz,3557,5.2
Warren,Democrat,Hillary Clinton,468,2.0
Gloucester,Democrat,Hillary Clinton,17954,8.6
Jeff Davis,Republican,Donald Trump,1071,9.3
Lamar,Republican,Donald Trump,1810,1.0
Converse,Democrat,Bernie Sanders,3,3.5
Lawrence,Republican,Ted Cruz,4235,6.8
McCreary,Republican,Donald Trump,725,3.1
Perry,Democrat,Hillary Clinton,648,0.8
Chattahoochee,Democrat,Hillary Clinton,182,13.9
Roanoke City,Democrat,Hillary Clinton,4783,8.8
Hernando,Republican,Donald Trump,15479,10.5
Chase,Republican,Donald Trump,476,9.6
Gallatin,Democrat,Bernie Sanders,340,5.4
Honolulu,Democrat,Bernie Sanders,11458,27.8
Warren,Republican,Donald Trump,2722,3.7
Washington,Republican,Donald Trump,11970,7.0
Caldwell,Republican,Donald Trump,284,1.6
Prince William,Democrat,Hillary Clinton,26439,30.2
Fayette,Republican,Donald Trump,2479,0.8
Mecosta,Republican,Donald Trump,2113,4.1
Daviess,Republican,Donald Trump,3894,14.7
Carroll,Republican,Donald Trump,0,13.6
Washakie,Democrat,Hillary Clinton,2,10.4
Dimmit,Democrat,Hillary Clinton,1804,70.8
Lexington,Democrat,Hillary Clinton,402,8.5
Baker,Democrat,Hillary Clinton,303,0.6
Cleburne,Republican,Donald Trump,2120,2.3
Trinity,Republican,Donald Trump,1026,7.2
Dawson,Republican,Donald Trump,1950,32.5
Broome,Democrat,Bernie Sanders,9176,8.9
Yolo,Democrat,Hillary Clinton,12567,34.7
Ballard,Democrat,Bernie Sanders,659,1.8
Miami,Republican,Donald Trump,3286,4.7
Johnson,Democrat,Hillary Clinton,1,2.2
Clear Creek,Democrat,Bernie Sanders,199,4.3
Blaine,Republican,Donald Trump,543,20.5
Candler,Republican,Donald Trump,897,9.4
Sullivan,Democrat,Bernie Sanders,2671,15.1
Merrick,Republican,Donald Trump,775,3.1
Somerset,Republican,Donald Trump,1686,5.5
Tillman,Democrat,Bernie Sanders,346,15.1
Fremont,Republican,Ted Cruz,1434,12.1
Broomfield,Democrat,Bernie Sanders,1010,13.8
Mason,Republican,Donald Trump,1785,4.4
Whiteside,Democrat,Bernie Sanders,3102,6.0
Sheridan,Democrat,Hillary Clinton,7,4.8
Choctaw,Democrat,Hillary Clinton,1772,1.3
Carroll,Democrat,Hillary Clinton,504,2.7
Jefferson,Democrat,Hillary Clinton,1671,7.4
Arapahoe,Democrat,Bernie Sanders,6086,22.1
Ouachita,Democrat,Hillary Clinton,8995,2.6
Morgan,Democrat,Bernie Sanders,988,1.7
Covington,Republican,Donald Trump,1724,1.0
Monona,Republican,Ted Cruz,185,2.6
Sutter,Republican,Donald Trump,4697,37.0
Atoka,Democrat,Bernie Sanders,723,2.9
Dodge,Republican,Donald Trump,2760,10.3
Daviess,Democrat,Bernie Sanders,5188,3.4
Day,Democrat,Hillary Clinton,343,4.6
Antrim,Republican,Donald Trump,1969,2.9
Morgan,Republican,Donald Trump,10235,2.2
Kent,Democrat,Bernie Sanders,43375,11.3
Marion,Republican,Donald Trump,473,9.0
Caddo,Democrat,Bernie Sanders,1543,7.9
Rockcastle,Republican,Donald Trump,743,0.5
Gogebic,Democrat,Bernie Sanders,790,4.0
Calhoun,Republican,Donald Trump,1323,5.3
Knott,Democrat,Bernie Sanders,1114,1.3
Tippah,Republican,Donald Trump,1951,4.6
Blackford,Republican,Donald Trump,1019,1.6
Charleston,Democrat,Hillary Clinton,26535,7.2
McIntosh,Republican,Donald Trump,1078,2.7
Hart,Republican,Donald Trump,1858,2.8
Barton,Republican,Ted Cruz,1560,3.2
Bingham,Republican,Ted Cruz,3471,16.0
Franklin,Republican,Donald Trump,3130,2.2
Escambia,Republican,Donald Trump,2817,1.4
Oakland,Democrat,Hillary Clinton,92296,14.0
Avoyelles,Democrat,Hillary Clinton,1181,12.2
Merced,Democrat,Hillary Clinton,7169,52.5
Yancey,Democrat,Bernie Sanders,1386,4.6
La Plata,Democrat,Bernie Sanders,1466,9.7
Marion,Republican,Ted Cruz,1011,2.9
Green,Democrat,Bernie Sanders,4359,4.9
Los Angeles,Democrat,Hillary Clinton,590502,56.8
Carroll,Democrat,Bernie Sanders,0,13.6
Shelby,Democrat,Hillary Clinton,66465,8.9
Scott,Democrat,Hillary Clinton,2013,9.2
DeSoto,Republican,Ted Cruz,12300,5.3
St. Mary's,Republican,Donald Trump,6576,6.6
Burke,Democrat,Hillary Clinton,1659,3.0
Atkinson,Republican,Donald Trump,619,20.5
Benton,Democrat,Hillary Clinton,557,2.5
Jackson,Democrat,Hillary Clinton,15,7.0
Andrew,Republican,Donald Trump,1457,1.3
Oneida,Republican,Ted Cruz,473,4.4
Washita,Democrat,Bernie Sanders,700,6.0
Flathead,Republican,Donald Trump,10642,3.0
Essex,Democrat,Hillary Clinton,75071,33.8
Schenectady,Democrat,Bernie Sanders,6862,9.9
Seminole,Republican,Donald Trump,25763,18.8
Polk,Republican,Donald Trump,33187,19.2
Van Buren,Republican,Ted Cruz,196,5.2
Jefferson,Democrat,Hillary Clinton,9936,3.1
Madison,Democrat,Hillary Clinton,722,1.3
Tuscaloosa,Democrat,Hillary Clinton,12136,5.8
Latah,Republican,Ted Cruz,2134,6.2
Orleans,Democrat,Hillary Clinton,40601,9.8
DeKalb,Democrat,Hillary Clinton,82348,18.6
Yankton,Democrat,Hillary Clinton,706,6.9
St. Clair,Republican,Donald Trump,11995,3.9
Livingston,Republican,Donald Trump,4918,4.5
Clinton,Democrat,Bernie Sanders,4301,6.1
Taylor,Democrat,Hillary Clinton,949,3.9
Douglas,Democrat,Bernie Sanders,2347,8.8
Saline,Republican,Donald Trump,1417,9.2
Ohio,Democrat,Bernie Sanders,943,2.2
Crawford,Republican,Ted Cruz,226,22.5
Citrus,Republican,Donald Trump,15232,5.9
Payne,Democrat,Bernie Sanders,3829,7.0
Natrona,Democrat,Hillary Clinton,20,5.3
Story,Democrat,Bernie Sanders,2737,9.3
Mills,Republican,Donald Trump,300,2.4
Custer,Republican,Donald Trump,430,2.6
Tallapoosa,Republican,Donald Trump,4658,2.9
Essex,Democrat,Hillary Clinton,642,2.9
Spalding,Republican,Donald Trump,4257,4.9
Elmore,Republican,Donald Trump,8525,3.6
Salt Lake,Democrat,Bernie Sanders,35610,19.7
Nueces,Democrat,Hillary Clinton,15662,40.2
Will,Democrat,Bernie Sanders,46305,19.9
Peach,Democrat,Hillary Clinton,1675,9.5
Marengo,Democrat,Hillary Clinton,3590,1.2
Christian,Republican,Donald Trump,2392,2.1
Logan,Republican,Donald Trump,166,1.1
Monroe,Republican,Donald Trump,805,3.3
Clark,Republican,Donald Trump,10635,5.2
Butler,Republican,Donald Trump,910,4.8
Calhoun,Democrat,Hillary Clinton,1536,2.9
Pemiscot,Republican,Donald Trump,1155,1.6
Taylor,Republican,Donald Trump,1203,5.8
Hart,Democrat,Bernie Sanders,1062,7.0
Pickens,Democrat,Hillary Clinton,2326,2.6
Hamilton,Republican,Donald Trump,35031,9.3
Queen Anne's,Republican,Donald Trump,5195,5.6
Isabella,Democrat,Bernie Sanders,4024,5.5
Grundy,Republican,Ted Cruz,272,2.3
Philadelphia,Democrat,Hillary Clinton,212785,21.5
DeWitt,Republican,Donald Trump,1577,2.0
Sharp,Republican,Donald Trump,1241,3.4
Dickinson,Republican,Donald Trump,1708,2.6
Lanier,Republican,Donald Trump,512,5.5
McLean,Democrat,Bernie Sanders,628,2.1
Bath,Democrat,Bernie Sanders,641,1.3
Wilkinson,Democrat,Hillary Clinton,832,2.1
Lafayette,Democrat,Hillary Clinton,443,1.2
Towns,Republican,Donald Trump,1356,4.1
Menominee,Democrat,Bernie Sanders,355,7.8
Allen,Democrat,Hillary Clinton,536,10.6
Wayne,Republican,Donald Trump,2033,5.6
Fremont,Republican,Donald Trump,182,1.5
Lincoln,Republican,Ted Cruz,276,23.4
Mohave,Republican,Donald Trump,14154,10.9
Kenton,Democrat,Hillary Clinton,5146,4.2
Fleming,Democrat,Bernie Sanders,806,2.8
Huntington,Republican,Donald Trump,4100,2.3
Elliott,Democrat,Bernie Sanders,443,2.1
Perry,Republican,Donald Trump,1561,3.5
Fayette,Democrat,Bernie Sanders,3585,1.9
Chatham,Democrat,Hillary Clinton,19898,8.0
Georgetown,Democrat,Hillary Clinton,4931,3.7
Osage,Republican,Donald Trump,1316,2.2
Camden,Democrat,Hillary Clinton,43720,19.9
Starr,Democrat,Hillary Clinton,6918,95.6
Teller,Democrat,Bernie Sanders,219,5.1
Cleveland,Republican,Ted Cruz,550,0.9
Pierce,Democrat,Bernie Sanders,3199,3.2
Chilton,Republican,Donald Trump,5273,7.4
Harford,Republican,Donald Trump,21771,7.2
Sumter,Democrat,Hillary Clinton,9816,4.8
Carlisle,Democrat,Bernie Sanders,462,1.2
Terrebonne,Republican,Donald Trump,3454,10.2
Adams,Democrat,Hillary Clinton,113,1.2
Siskiyou,Republican,Donald Trump,3573,9.7
Calhoun,Democrat,Hillary Clinton,499,8.5
Calvert,Republican,Donald Trump,6360,4.4
Hood River,Democrat,Bernie Sanders,2527,28.2
Caddo,Democrat,Hillary Clinton,16666,3.9
Gilchrist,Republican,Donald Trump,1860,4.4
Manassas Park,Democrat,Hillary Clinton,581,44.4
Lake,Democrat,Bernie Sanders,165,28.8
Oconee,Republican,Donald Trump,2871,7.4
Carroll,Republican,Donald Trump,1268,4.9
Pitt,Democrat,Hillary Clinton,11856,7.2
Toole,Republican,Donald Trump,863,7.0
Vermillion,Republican,Donald Trump,1748,2.2
Powell,Republican,Donald Trump,818,5.0
Fulton,Republican,Donald Trump,2556,7.5
Pueblo,Democrat,Hillary Clinton,1260,14.6
Sublette,Democrat,Bernie Sanders,3,3.6
Washington,Democrat,Hillary Clinton,601,3.4
Madison,Democrat,Bernie Sanders,4385,3.0
Chesterfield,Democrat,Hillary Clinton,2209,3.5
Green,Republican,Donald Trump,655,1.7
Braxton,Democrat,Bernie Sanders,1321,1.0
Mayes,Democrat,Bernie Sanders,2144,4.0
Beaufort,Democrat,Hillary Clinton,9945,13.9
Orangeburg,Democrat,Hillary Clinton,11819,3.3
Hamilton,Republican,Donald Trump,766,3.8
Staunton,Democrat,Bernie Sanders,1364,4.0
Pulaski,Republican,Donald Trump,2821,1.8
Brewster,Democrat,Bernie Sanders,771,39.0
Greene,Democrat,Hillary Clinton,1643,15.3
Midland,Republican,Ted Cruz,4720,4.9
Hot Springs,Democrat,Bernie Sanders,1,4.2
Mahoning,Democrat,Hillary Clinton,21000,6.7
Hancock,Democrat,Hillary Clinton,1112,2.4
Baldwin,Republican,Donald Trump,23618,5.5
Logan,Republican,Donald Trump,1208,2.6
Prairie,Democrat,Hillary Clinton,558,0.8
Garrett,Republican,Donald Trump,3564,4.6
Mineral,Republican,Donald Trump,638,0.6
Palm Beach,Democrat,Hillary Clinton,103369,28.4
Fulton,Democrat,Hillary Clinton,701,1.5
Monroe,Democrat,Hillary Clinton,843,1.5
Kent,Republican,Donald Trump,8294,8.9
St. John the Baptist,Democrat,Hillary Clinton,3818,7.1
Franklin,Republican,Donald Trump,1997,4.9
Muskogee,Democrat,Bernie Sanders,3515,5.1
Osceola,Republican,Donald Trump,1812,4.5
Alamosa,Democrat,Bernie Sanders,167,22.6
Dent,Republican,Donald Trump,1688,2.2
Hardeman,Democrat,Hillary Clinton,1721,3.4
Porter,Republican,Donald Trump,16194,6.6
Escambia,Republican,Donald Trump,20856,7.9
Lackawanna,Democrat,Hillary Clinton,22971,8.7
Lake,Democrat,Hillary Clinton,49750,27.8
Boone,Republican,Donald Trump,7023,4.4
Albany,Democrat,Bernie Sanders,25,9.7
Morgan,Republican,Donald Trump,10909,8.0
Jasper,Republican,Ted Cruz,928,1.5
Tulare,Republican,Donald Trump,15334,49.2
Bulloch,Republican,Donald Trump,3111,5.0
Warren,Democrat,Hillary Clinton,2827,3.6
Duval,Democrat,Hillary Clinton,58632,13.2
Allendale,Democrat,Hillary Clinton,1022,2.6
Posey,Republican,Donald Trump,3159,2.8
Jackson,Democrat,Bernie Sanders,1845,7.0
Buffalo,Republican,Donald Trump,3748,7.1
Cerro Gordo,Democrat,Bernie Sanders,1108,3.8
Monroe,Democrat,Hillary Clinton,1191,3.2
Brevard,Republican,Donald Trump,45483,10.1
Colfax,Republican,Donald Trump,494,40.6
Crisp,Republican,Donald Trump,1204,4.2
Magoffin,Democrat,Bernie Sanders,626,0.3
Bartow,Republican,Donald Trump,8281,6.9
Bexar,Democrat,Hillary Clinton,76502,42.0
Del Norte,Republican,Donald Trump,1536,15.3
Brooklyn,Democrat,Hillary Clinton,174236,46.3
Nevada,Democrat,Hillary Clinton,647,2.7
Delaware,Democrat,Bernie Sanders,1773,5.8
Jefferson,Republican,Donald Trump,533,3.3
Lawrence,Republican,Donald Trump,1201,1.3
Pulaski,Republican,Donald Trump,436,2.5
Monroe,Democrat,Bernie Sanders,15166,9.9
Val Verde,Democrat,Hillary Clinton,1777,72.2
Ogle,Republican,Ted Cruz,4307,7.2
Rapides,Democrat,Hillary Clinton,4722,5.3
Panola,Democrat,Hillary Clinton,3061,0.5
Radford,Democrat,Bernie Sanders,655,6.7
White,Republican,Ted Cruz,4395,4.3
Kane,Democrat,Bernie Sanders,31085,31.4
Union,Republican,Donald Trump,2691,5.2
Manistee,Democrat,Bernie Sanders,1646,4.1
Warren,Republican,Donald Trump,1321,1.6
Crawford,Republican,Donald Trump,930,2.7
Wolfe,Democrat,Bernie Sanders,499,0.0
Suffolk,Democrat,Hillary Clinton,7533,4.5
Jerauld,Democrat,Hillary Clinton,96,4.8
Barrow,Republican,Donald Trump,4653,12.2
Winston,Republican,Donald Trump,3352,1.8
Jefferson,Republican,Donald Trump,3281,3.2
Teton,Republican,Ted Cruz,465,16.1
Washington,Democrat,Bernie Sanders,41841,23.3
Lumpkin,Republican,Donald Trump,2453,4.5
Duval,Democrat,Hillary Clinton,2272,65.7
Bannock,Republican,Ted Cruz,4404,6.4
Lincoln,Republican,Donald Trump,3073,3.0
Henry,Republican,Donald Trump,5714,2.0
Marion,Democrat,Hillary Clinton,1162,3.5
Monroe,Democrat,Hillary Clinton,37309,12.6
Lee,Democrat,Hillary Clinton,3224,18.3
Newton,Democrat,Hillary Clinton,7269,6.2
Ringgold,Democrat,Hillary Clinton,132,10.0
Hall,Republican,Donald Trump,3818,19.6
Pike,Republican,Donald Trump,1649,0.9
Jefferson,Democrat,Hillary Clinton,1550,0.4
Ralls,Republican,Donald Trump,961,0.9
Chester,Democrat,Hillary Clinton,1962,1.2
Cleveland,Democrat,Hillary Clinton,4880,4.0
Kendall,Democrat,Bernie Sanders,7482,17.3
Greene,Republican,Donald Trump,2103,2.5
