county;party;candidate;votes;income
Gallatin;Democrat;Bernie Sanders;340;19020
Gallatin;Democrat;Bernie Sanders;663;23862
Gallia;Republican;Donald Trump;2900;21168
Garden;Republican;Donald Trump;372;26715
Garfield;Democrat;Bernie Sanders;734;26603
Garfield;Republican;Donald Trump;227;22092
Garfield;Republican;Donald Trump;290;26954
Garfield;Republican;Donald Trump;357;25921
Garfield;Republican;Ted Cruz;2798;24177
Garrard;Republican;Donald Trump;581;21341
Garvin;Democrat;Bernie Sanders;1505;21285
Gaston;Republican;Donald Trump;11528;22658
Gates;Democrat;Hillary Clinton;749;21187
Genesee;Democrat;Hillary Clinton;31284;22380
Genesee;Republican;Donald Trump;3673;25403
George;Republican;Donald Trump;2245;20217
Georgetown;Democrat;Hillary Clinton;4931;24437
Gila;Republican;Donald Trump;3065;20792
Gilchrist;Republican;Donald Trump;1860;20180
Giles;Republican;Donald Trump;1037;23485
Giles;Republican;Donald Trump;1910;19998
Gilmer;Democrat;Bernie Sanders;643;17870
Gilmer;Republican;Donald Trump;3314;21317
Gilpin;Democrat;Bernie Sanders;173;38022
Glacier;Democrat;Bernie Sanders;1074;15604
Glades;Republican;Donald Trump;632;16011
Gladwin;Republican;Donald Trump;1774;20368
Glascock;Republican;Donald Trump;405;17984
Glasscock;Republican;Ted Cruz;202;31135
Glenn;Republican;Donald Trump;1699;22148
Gloucester;Democrat;Hillary Clinton;17954;32600
Gloucester;Republican;Donald Trump;2907;28673
Glynn;Republican;Donald Trump;5516;26724
Gogebic;Democrat;Bernie Sanders;790;20330
Goliad;Republican;Ted Cruz;747;30031
Gonzales;Republican;Ted Cruz;1698;20288
Gordon;Republican;Donald Trump;4339;19177
Goshen;Democrat;Hillary Clinton;3;23475
Grady;Republican;Donald Trump;1422;15734
Grady;Republican;Ted Cruz;3020;23500
Graham;Republican;Donald Trump;845;19780
Grainger;Republican;Donald Trump;1767;17933
Grand;Democrat;Bernie Sanders;187;31684
Grand;Democrat;Bernie Sanders;636;23558
Grand Traverse;Democrat;Bernie Sanders;8091;27660
Granite;Republican;Donald Trump;487;26277
Grant;Democrat;Bernie Sanders;715;19829
Grant;Democrat;Bernie Sanders;4484;21705
Grant;Democrat;Hillary Clinton;2272;22755
Grant;Republican;Donald Trump;162;19968
Grant;Republican;Donald Trump;722;19018
Grant;Republican;Donald Trump;5992;20516
Grant;Republican;Ted Cruz;1329;23239
Granville;Democrat;Hillary Clinton;4693;22295
Gratiot;Democrat;Bernie Sanders;1812;18836
Graves;Democrat;Bernie Sanders;2631;20746
Greeley;Republican;Donald Trump;125;23833
Green;Democrat;Bernie Sanders;4359;27060
Greene;Democrat;Hillary Clinton;215;26205
Greene;Democrat;Hillary Clinton;1643;18441
Greene;Democrat;Hillary Clinton;2714;14930
Greene;Republican;Donald Trump;1014;22307
Greene;Republican;Donald Trump;1057;26998
Greene;Republican;Donald Trump;4491;22235
Greene;Republican;Donald Trump;5016;19801
Greene;Republican;Ted Cruz;26784;23520
Greenlee;Democrat;Hillary Clinton;497;20516
Greensville;Democrat;Hillary Clinton;832;16380
Greenup;Democrat;Bernie Sanders;1655;22035
Greenwood;Democrat;Hillary Clinton;3588;21053
Greer;Democrat;Bernie Sanders;332;17969
Gregg;Republican;Ted Cruz;8363;24064
Gregory;Republican;Donald Trump;341;23041
Grenada;Republican;Donald Trump;1727;21084
Guadalupe;Democrat;Hillary Clinton;399;14198
Guernsey;Republican;Donald Trump;3029;20537
Guilford;Democrat;Hillary Clinton;37880;26461
Gunnison;Democrat;Bernie Sanders;481;27654
Guthrie;Democrat;Hillary Clinton;220;28030
Gwinnett;Democrat;Hillary Clinton;37465;25932
Hale;Democrat;Hillary Clinton;2426;18812
Hale;Republican;Ted Cruz;2202;18004
Halifax;Democrat;Hillary Clinton;6224;17937
Halifax;Republican;Donald Trump;2157;20929
Hall;Republican;Donald Trump;12536;23645
Hamilton;Democrat;Hillary Clinton;353;24510
Hamilton;Democrat;Hillary Clinton;758;16295
Hamilton;Republican;Donald Trump;1030;26715
Hamilton;Republican;John Kasich;67510;29681
Hampshire;Republican;Donald Trump;2125;17734
Hampton;Democrat;Hillary Clinton;1930;19332
Hampton;Democrat;Hillary Clinton;13529;25247
Hancock;Democrat;Bernie Sanders;573;22686
Hancock;Democrat;Hillary Clinton;1112;12381
Hancock;Republican;Donald Trump;433;14326
Hancock;Republican;Donald Trump;2458;23261
Hancock;Republican;Donald Trump;4147;22621
Hancock;Republican;John Kasich;8496;26139
Hansford;Republican;Ted Cruz;682;23969
Haralson;Republican;Donald Trump;2818;19789
Hardeman;Democrat;Hillary Clinton;1721;14975
Hardeman;Republican;Ted Cruz;290;19829
Hardin;Democrat;Hillary Clinton;4359;24147
Hardin;Republican;Donald Trump;496;22366
Hardin;Republican;Donald Trump;2094;20127
Hardin;Republican;John Kasich;2265;19626
Hardin;Republican;Ted Cruz;6354;25559
Harding;Republican;Donald Trump;107;25686
Harding;Republican;Donald Trump;298;22247
Hardy;Republican;Donald Trump;1119;19032
Harlan;Democrat;Bernie Sanders;1092;16257
Harlan;Republican;Donald Trump;436;25322
Harmon;Democrat;Bernie Sanders;167;18582
Harnett;Republican;Donald Trump;4943;20310
Harris;Democrat;Hillary Clinton;156729;27899
Harrison;Democrat;Bernie Sanders;1059;21424
Harrison;Republican;Donald Trump;315;26184
Harrison;Republican;Donald Trump;755;19468
Harrison;Republican;Donald Trump;1424;21029
Harrison;Republican;Donald Trump;4326;23244
Harrison;Republican;Donald Trump;12555;22677
Harrisonburg;Democrat;Bernie Sanders;2911;17080
Hart;Democrat;Bernie Sanders;1062;17273
Haskell;Democrat;Bernie Sanders;752;18896
Haskell;Republican;Ted Cruz;409;22223
Hawaii;Democrat;Bernie Sanders;5605;24635
Hays;Republican;Ted Cruz;8254;26873
Haywood;Democrat;Bernie Sanders;3873;24536
Haywood;Democrat;Hillary Clinton;1197;18714
Heard;Republican;Donald Trump;1068;18964
Henderson;Democrat;Hillary Clinton;2887;22746
Henderson;Republican;Donald Trump;516;25902
Henderson;Republican;Donald Trump;1836;20449
Henderson;Republican;Ted Cruz;7027;21995
Henderson;Republican;Ted Cruz;8301;25670
Henrico;Democrat;Hillary Clinton;28121;33115
Henry;Democrat;Bernie Sanders;958;21923
Henry;Democrat;Hillary Clinton;15639;25299
Henry;Republican;Donald Trump;1636;22394
Henry;Republican;John Kasich;3499;23347
Henry;Republican;Ted Cruz;379;22687
Hertford;Democrat;Hillary Clinton;2926;17863
Hickman;Democrat;Bernie Sanders;300;19292
Hickman;Republican;Donald Trump;1325;18383
Hidalgo;Democrat;Hillary Clinton;515;18392
Hidalgo;Democrat;Hillary Clinton;40276;14222
Highland;Republican;Donald Trump;164;26372
Hill;Republican;Donald Trump;1342;21376
Hillsborough;Democrat;Hillary Clinton;68936;27149
Hinds;Democrat;Hillary Clinton;31386;20448
Hinsdale;Democrat;Bernie Sanders;10;36365
Hitchcock;Republican;Donald Trump;305;23554
Hocking;Republican;Donald Trump;2007;21037
Hockley;Republican;Ted Cruz;2073;21984
Hoke;Democrat;Hillary Clinton;3528;18761
Holmes;Democrat;Hillary Clinton;3301;12113
Holmes;Republican;John Kasich;2347;17177
Holt;Republican;Donald Trump;1302;24120
Honolulu;Democrat;Bernie Sanders;11458;30361
Hood River;Democrat;Bernie Sanders;2527;25181
Hooker;Republican;Donald Trump;119;20737
Hopewell;Democrat;Hillary Clinton;1177;20388
Hopkins;Democrat;Bernie Sanders;2696;22132
Hopkins;Republican;Ted Cruz;3213;21606
Horry;Republican;Donald Trump;26445;24002
Hot Spring;Republican;Donald Trump;1597;19286
Hot Springs;Democrat;Bernie Sanders;1;26544
Hot Springs;Democrat;Hillary Clinton;1;26544
Houghton;Democrat;Bernie Sanders;2039;19783
Houston;Republican;Donald Trump;523;18539
Houston;Republican;Donald Trump;7091;25195
Houston;Republican;Donald Trump;8171;23316
Howard;Democrat;Bernie Sanders;215;24286
Howard;Democrat;Hillary Clinton;30873;48172
Howard;Republican;Donald Trump;559;18707
Howard;Republican;Donald Trump;8475;24071
Howard;Republican;Ted Cruz;798;21598
Howell;Republican;Donald Trump;4230;17416
Hudson;Democrat;Hillary Clinton;49798;32641
Hudspeth;Democrat;Hillary Clinton;147;14142
Huerfano;Democrat;Bernie Sanders;150;24058
Hughes;Democrat;Bernie Sanders;873;18268
Hughes;Republican;Donald Trump;1606;30284
Humboldt;Democrat;Bernie Sanders;13245;23540
Humboldt;Republican;Donald Trump;204;26746
Humphreys;Democrat;Hillary Clinton;2894;12874
Humphreys;Republican;Donald Trump;1218;22183
Hunt;Republican;Ted Cruz;7249;22341
Huntingdon;Republican;Donald Trump;5230;20739
Huntington;Republican;Donald Trump;4100;22601
Huron;Republican;John Kasich;4019;22257
Hyde;Democrat;Hillary Clinton;459;18408
Hyde;Republican;Donald Trump;96;26195
Iberia;Democrat;Hillary Clinton;2171;22997
Iberville;Democrat;Hillary Clinton;3699;21177
Imperial;Democrat;Hillary Clinton;5743;16763
Indiana;Republican;Donald Trump;7585;22933
Ingham;Democrat;Bernie Sanders;22909;24754
Ionia;Democrat;Bernie Sanders;2812;20206
Iowa;Democrat;Bernie Sanders;3198;26625
Iowa;Democrat;Hillary Clinton;357;28068
Iredell;Republican;Donald Trump;12861;26467
Irion;Republican;Ted Cruz;228;28055
Iron;Republican;Donald Trump;800;19101
Iron;Republican;Donald Trump;940;23324
Iroquois;Republican;Donald Trump;2836;25098
Isabella;Democrat;Bernie Sanders;4024;19061
Island;Republican;Donald Trump;6930;30941
Issaquena;Democrat;Hillary Clinton;175;13731
Jackson;Democrat;Bernie Sanders;1845;21849
Jackson;Democrat;Bernie Sanders;3021;21014
Jackson;Democrat;Bernie Sanders;4656;20527
Jackson;Democrat;Hillary Clinton;15;25936
Jackson;Democrat;Hillary Clinton;450;24493
Jackson;Democrat;Hillary Clinton;827;19188
Jackson;Democrat;Hillary Clinton;2798;17525
Jackson;Democrat;Hillary Clinton;48860;26062
Jackson;Republican;Donald Trump;153;20319
Jackson;Republican;Donald Trump;713;18387
Jackson;Republican;Donald Trump;3018;19405
Jackson;Republican;Donald Trump;5463;20486
Jackson;Republican;Donald Trump;8113;22613
Jackson;Republican;Donald Trump;9934;23879
Jackson;Republican;Donald Trump;18498;24378
James City;Republican;Marco Rubio;5780;39133
Jasper;Democrat;Hillary Clinton;927;24905
Jasper;Democrat;Hillary Clinton;1976;18075
Jasper;Democrat;Hillary Clinton;2194;17350
Jasper;Republican;Donald Trump;3903;24297
Jasper;Republican;Ted Cruz;3026;20254
Jasper;Republican;Ted Cruz;11113;21124
Jay;Republican;Donald Trump;2194;19236
Jeff Davis;Democrat;Hillary Clinton;738;21132
Jeff Davis;Democrat;Hillary Clinton;1806;16216
Jeff Davis;Republican;Donald Trump;1071;17684
Jefferson;Democrat;Bernie Sanders;347;19042
Jefferson;Democrat;Bernie Sanders;654;27593
Jefferson;Democrat;Bernie Sanders;8281;36087
Jefferson;Democrat;Hillary Clinton;1519;14757
Jefferson;Democrat;Hillary Clinton;1550;12723
Jefferson;Democrat;Hillary Clinton;1671;21184
Jefferson;Democrat;Hillary Clinton;9936;19353
Jefferson;Democrat;Hillary Clinton;16580;23236
Jefferson;Democrat;Hillary Clinton;17581;26908
Jefferson;Democrat;Hillary Clinton;64090;27925
Jefferson;Democrat;Hillary Clinton;67357;26906
Jefferson;Republican;Donald Trump;533;24777
Jefferson;Republican;Donald Trump;1648;30397
Jefferson;Republican;Donald Trump;3077;21524
Jefferson;Republican;Ted Cruz;3080;19598
Jefferson;Republican;Ted Cruz;9333;25625
Jennings;Republican;Donald Trump;3361;20109
Jerauld;Democrat;Hillary Clinton;96;26590
Jerome;Republican;Ted Cruz;1164;17182
Jessamine;Democrat;Bernie Sanders;2113;25637
Jim Hogg;Democrat;Hillary Clinton;1421;19212
Jim Wells;Democrat;Hillary Clinton;4688;20452
Johnson;Democrat;Bernie Sanders;1;28072
Johnson;Democrat;Bernie Sanders;5473;29592
Johnson;Democrat;Hillary Clinton;1;28072
Johnson;Republican;Donald Trump;326;19435
Johnson;Republican;Donald Trump;684;16807
Johnson;Republican;Donald Trump;1075;19445
Johnson;Republican;Donald Trump;1306;16470
Johnson;Republican;Donald Trump;17218;28575
Johnston;Democrat;Bernie Sanders;606;19967
Jones;Democrat;Bernie Sanders;480;26762
Jones;Democrat;Hillary Clinton;910;20105
Jones;Republican;Donald Trump;2318;24485
Jones;Republican;Ted Cruz;1638;14827
Josephine;Republican;Donald Trump;10325;21791
Juab;Republican;Ted Cruz;647;18108
Judith Basin;Republican;Donald Trump;421;24260
Kalamazoo;Democrat;Bernie Sanders;20146;25757
Kanawha;Republican;Donald Trump;13936;28174
Kane;Democrat;Bernie Sanders;31085;30082
Kane;Republican;Ted Cruz;371;24154
Karnes;Democrat;Hillary Clinton;719;19899
Kauai;Democrat;Bernie Sanders;2049;26658
Keith;Republican;Donald Trump;1253;25097
Kemper;Democrat;Hillary Clinton;1008;13795
Kendall;Democrat;Bernie Sanders;7482;31276
Kendall;Republican;Ted Cruz;4378;35827
Kenedy;Democrat;Hillary Clinton;63;15157
Kenosha;Democrat;Bernie Sanders;14612;26514
Kent;Democrat;Bernie Sanders;43375;25889
Kent;Democrat;Hillary Clinton;1460;31502
Kenton;Democrat;Hillary Clinton;5146;27704
Keokuk;Democrat;Hillary Clinton;250;22243
Kerr;Republican;Ted Cruz;4846;26334
Kershaw;Democrat;Hillary Clinton;3743;22638
Kewaunee;Republican;Ted Cruz;2481;25282
Keweenaw;Democrat;Bernie Sanders;188;24802
Kimble;Republican;Ted Cruz;456;27502
King William;Republican;Donald Trump;1131;26940
King and Queen;Democrat;Hillary Clinton;477;23868
Kingfisher;Republican;Ted Cruz;958;25773
Kings;Republican;Donald Trump;7046;18429
Kinney;Democrat;Hillary Clinton;211;16700
Kiowa;Democrat;Bernie Sanders;514;23576
Kiowa;Democrat;Hillary Clinton;5;22482
Kit Carson;Democrat;Bernie Sanders;16;21850
Kleberg;Democrat;Hillary Clinton;1738;18918
Knott;Democrat;Bernie Sanders;1114;18448
Knox;Democrat;Bernie Sanders;3168;22093
Knox;Republican;Donald Trump;343;20946
Knox;Republican;Donald Trump;642;25214
Knox;Republican;Donald Trump;20985;28136
Knox;Republican;John Kasich;5523;23878
Knox;Republican;Ted Cruz;347;19396
Kootenai;Republican;Ted Cruz;11924;24685
Kossuth;Democrat;Hillary Clinton;360;29127
La Crosse;Democrat;Bernie Sanders;15139;26271
La Paz;Republican;Donald Trump;940;22200
La Plata;Democrat;Bernie Sanders;1466;30151
La Salle;Democrat;Hillary Clinton;557;13307
La Vaca;Republican;Ted Cruz;2196;24299
LaRue;Democrat;Bernie Sanders;910;19611
LaSalle;Republican;Donald Trump;577;22481
Lackawanna;Democrat;Hillary Clinton;22971;25594
Lafayette;Democrat;Bernie Sanders;1330;23483
Lafayette;Democrat;Hillary Clinton;443;17212
Lafayette;Republican;Donald Trump;556;18660
Lafayette;Republican;Donald Trump;2521;21388
Lake;Democrat;Bernie Sanders;165;25029
Lake;Democrat;Bernie Sanders;2704;21537
Lake;Democrat;Hillary Clinton;43091;23918
Lake;Democrat;Hillary Clinton;49750;38018
Lake;Republican;Donald Trump;326;12042
Lake;Republican;Donald Trump;619;27015
Lake;Republican;Donald Trump;803;16202
Lake;Republican;Donald Trump;2927;21521
Lamar;Republican;Donald Trump;1810;19026
Lamar;Republican;Ted Cruz;4096;21468
Lampasas;Republican;Ted Cruz;1705;23423
Lancaster;Republican;Donald Trump;4190;21003
Lancaster;Republican;Donald Trump;13251;27141
Lancaster;Republican;Donald Trump;38171;26496
Lane;Democrat;Bernie Sanders;41883;24224
Lanier;Republican;Donald Trump;512;17264
Laramie;Democrat;Hillary Clinton;26;28505
Larimer;Democrat;Bernie Sanders;6664;30740
Las Animas;Democrat;Bernie Sanders;106;22180
Latimer;Democrat;Bernie Sanders;852;22603
Lauderdale;Republican;Donald Trump;1111;15758
Lauderdale;Republican;Donald Trump;4740;21346
Lauderdale;Republican;Donald Trump;7502;23510
Lawrence;Democrat;Bernie Sanders;659;17960
Lawrence;Democrat;Hillary Clinton;933;15971
Lawrence;Republican;Donald Trump;1326;14147
Lawrence;Republican;Donald Trump;1801;27498
Lawrence;Republican;Donald Trump;2883;19136
Lawrence;Republican;Donald Trump;3604;20181
Lawrence;Republican;Donald Trump;5764;21365
Lawrence;Republican;Donald Trump;6964;22906
LeFlore;Democrat;Bernie Sanders;2283;18141
Leake;Democrat;Hillary Clinton;1614;16780
Lebanon;Republican;Donald Trump;13490;27074
Lee;Democrat;Hillary Clinton;929;22649
Lee;Democrat;Hillary Clinton;956;12529
Lee;Democrat;Hillary Clinton;2207;14740
Lee;Democrat;Hillary Clinton;3224;21449
Lee;Democrat;Hillary Clinton;7137;23506
Lee;Republican;Donald Trump;273;13969
Lee;Republican;Donald Trump;1089;16664
Lee;Republican;Donald Trump;3057;26357
Lee;Republican;Donald Trump;51659;27348
Lee;Republican;Ted Cruz;1462;25123
Lee;Republican;Ted Cruz;5921;21799
Leelanau;Democrat;Bernie Sanders;2359;31462
Leflore;Democrat;Hillary Clinton;2094;14307
Lehigh;Republican;Donald Trump;20891;27923
Lenawee;Republican;Donald Trump;5167;22395
Lenoir;Democrat;Hillary Clinton;4731;19760
Leon;Democrat;Hillary Clinton;27333;26196
Leon;Republican;Ted Cruz;1921;24170
Leslie;Republican;Donald Trump;503;16424
Letcher;Democrat;Bernie Sanders;1788;17886
Levy;Republican;Donald Trump;3745;18304
Lewis;Republican;Donald Trump;809;17751
Lewis;Republican;Donald Trump;8513;22212
Lewis and Clark;Republican;Donald Trump;6194;28400
Lexington;Democrat;Hillary Clinton;402;14763
Liberty;Democrat;Bernie Sanders;392;16266
Liberty;Democrat;Hillary Clinton;2783;20791
Liberty;Republican;Ted Cruz;5805;19740
Licking;Republican;John Kasich;17357;26716
Limestone;Republican;Ted Cruz;1638;19352
Lincoln;Democrat;Bernie Sanders;3;25834
Lincoln;Democrat;Bernie Sanders;1510;18458
Lincoln;Democrat;Bernie Sanders;4674;25194
Lincoln;Democrat;Hillary Clinton;3;25834
Lincoln;Democrat;Hillary Clinton;20;19703
Lincoln;Democrat;Hillary Clinton;599;15023
Lincoln;Democrat;Hillary Clinton;779;17420
Lincoln;Democrat;Hillary Clinton;1692;20633
Lincoln;Republican;Donald Trump;2179;25449
Lincoln;Republican;Donald Trump;2656;21811
Lincoln;Republican;Donald Trump;3060;24669
Lincoln;Republican;Ted Cruz;127;22879
Lincoln;Republican;Ted Cruz;1908;21888
Linn;Democrat;Bernie Sanders;6331;29943
Linn;Republican;Donald Trump;9085;21500
Little River;Democrat;Hillary Clinton;721;19880
Livingston;Democrat;Bernie Sanders;610;19795
Livingston;Republican;Donald Trump;1191;21011
Livingston;Republican;Donald Trump;4918;25076
Llano;Republican;Ted Cruz;2161;33634
Logan;Democrat;Bernie Sanders;1131;19143
Logan;Democrat;Bernie Sanders;3201;19901
Logan;Democrat;Hillary Clinton;77;22581
Logan;Republican;Donald Trump;166;22799
Logan;Republican;Ted Cruz;2821;25620
Long;Republican;Donald Trump;633;17158
Los Alamos;Democrat;Hillary Clinton;1424;51044
Los Angeles;Democrat;Hillary Clinton;590502;27749
Loudoun;Democrat;Hillary Clinton;21171;46565
Louisa;Republican;Donald Trump;261;24272
Loup;Republican;Donald Trump;101;21499
Love;Democrat;Bernie Sanders;502;19910
Loving;Republican;Ted Cruz;14;34068
Lowndes;Democrat;Hillary Clinton;3782;18368
Lowndes;Democrat;Hillary Clinton;4030;20951
Lucas;Democrat;Hillary Clinton;32137;23885
Luce;Republican;Donald Trump;407;18768
Lunenburg;Democrat;Hillary Clinton;738;17630
Lycoming;Republican;Donald Trump;12898;22987
Lyman;Republican;Donald Trump;432;20586
Lynchburg;Republican;Marco Rubio;3122;21440
Lynn;Republican;Ted Cruz;678;21639
Lyon;Democrat;Bernie Sanders;561;22123
Lyon;Republican;Donald Trump;1399;21757
Mackinac;Republican;Donald Trump;856;22622
Macomb;Republican;Donald Trump;60492;26748
Macon;Democrat;Hillary Clinton;977;13865
Macon;Democrat;Hillary Clinton;4293;16826
Macon;Republican;Donald Trump;2870;23213
Macoupin;Democrat;Bernie Sanders;3552;24658
Madera;Republican;Donald Trump;8247;17847
Madison;Democrat;Bernie Sanders;2044;19902
Madison;Democrat;Bernie Sanders;4385;21800
Madison;Democrat;Bernie Sanders;18723;27407
Madison;Democrat;Hillary Clinton;722;13585
Madison;Democrat;Hillary Clinton;1085;18754
Madison;Democrat;Hillary Clinton;1542;15538
Madison;Democrat;Hillary Clinton;4351;23283
Madison;Republican;Donald Trump;916;17316
Madison;Republican;Donald Trump;1412;33062
Madison;Republican;Donald Trump;2280;24593
Madison;Republican;Donald Trump;2460;19939
Madison;Republican;Donald Trump;2968;25230
Madison;Republican;Donald Trump;7540;33170
Madison;Republican;Donald Trump;23791;31933
Madison;Republican;Ted Cruz;452;27685
Madison;Republican;Ted Cruz;4079;15133
Magoffin;Democrat;Bernie Sanders;626;15118
Mahaska;Republican;Ted Cruz;669;23788
Mahoning;Democrat;Hillary Clinton;21000;23975
Manassas;Democrat;Hillary Clinton;1812;28752
Manassas Park;Democrat;Hillary Clinton;581;26944
Manhattan;Democrat;Hillary Clinton;177496;62498
Manistee;Democrat;Bernie Sanders;1646;22702
Marengo;Democrat;Hillary Clinton;3590;22072
Maries;Republican;Donald Trump;958;22026
Marin;Democrat;Hillary Clinton;27238;56791
Marion;Democrat;Bernie Sanders;5324;23229
Marion;Democrat;Hillary Clinton;1162;18865
Marion;Democrat;Hillary Clinton;3359;16531
Marion;Democrat;Hillary Clinton;59649;24124
Marion;Republican;Donald Trump;2454;18126
Marion;Republican;Donald Trump;16572;22001
Marion;Republican;Ted Cruz;714;20337
Marion;Republican;Ted Cruz;2263;21909
Marlboro;Democrat;Hillary Clinton;2132;14577
Marquette;Democrat;Bernie Sanders;5530;23789
Marquette;Republican;Donald Trump;1765;23490
Marshall;Democrat;Bernie Sanders;738;19583
Marshall;Democrat;Bernie Sanders;960;24117
Marshall;Democrat;Bernie Sanders;2308;22381
Marshall;Democrat;Hillary Clinton;287;24205
Marshall;Democrat;Hillary Clinton;3361;17978
Marshall;Republican;Donald Trump;1858;20739
Marshall;Republican;Donald Trump;3071;24329
Marshall;Republican;Ted Cruz;1095;25975
Martin;Democrat;Hillary Clinton;2469;18783
Martin;Republican;Donald Trump;586;15525
Martin;Republican;Donald Trump;1398;22817
Martin;Republican;Donald Trump;16065;34057
Martinsville;Democrat;Hillary Clinton;834;19900
Mason;Democrat;Bernie Sanders;775;23347
Mason;Republican;Donald Trump;896;23199
Mason;Republican;Donald Trump;1785;23183
Mason;Republican;Donald Trump;2484;20622
Mason;Republican;Donald Trump;5491;23542
Mason;Republican;Ted Cruz;677;27504
Matagorda;Republican;Ted Cruz;2109;23389
Mathews;Republican;Donald Trump;762;31342
Maui;Democrat;Bernie Sanders;4419;29517
Maverick;Democrat;Hillary Clinton;4342;13668
Mayes;Democrat;Bernie Sanders;2144;20585
McCook;Republican;Donald Trump;320;26505
McCormick;Democrat;Hillary Clinton;973;22150
McCracken;Democrat;Bernie Sanders;3541;25957
McCreary;Republican;Donald Trump;725;11818
McCurtain;Democrat;Bernie Sanders;1314;17615
McDonough;Republican;Donald Trump;1599;20042
McDowell;Democrat;Bernie Sanders;1453;14093
McHenry;Republican;Donald Trump;16514;32341
McIntosh;Democrat;Bernie Sanders;1261;19100
McIntosh;Republican;Donald Trump;1078;21484
McKean;Republican;Donald Trump;3845;22426
McKinley;Democrat;Hillary Clinton;4761;12679
McLean;Democrat;Bernie Sanders;628;19984
McMinn;Republican;Donald Trump;3604;19744
McMullen;Republican;Ted Cruz;172;27375
McNairy;Republican;Donald Trump;1822;18428
McPherson;Republican;Donald Trump;114;25339
McPherson;Republican;Donald Trump;340;22596
Meade;Democrat;Bernie Sanders;1541;20898
Meagher;Republican;Donald Trump;394;20288
Mecklenburg;Democrat;Hillary Clinton;1588;20056
Mecklenburg;Democrat;Hillary Clinton;71265;32482
Meigs;Republican;Donald Trump;946;19403
Mellette;Republican;Donald Trump;87;15760
Menard;Republican;Ted Cruz;226;18253
Mendocino;Democrat;Bernie Sanders;4654;23306
Menifee;Democrat;Bernie Sanders;323;15942
Menominee;Democrat;Bernie Sanders;355;14710
Merced;Democrat;Hillary Clinton;7169;18177
Mercer;Democrat;Bernie Sanders;1331;24138
Mercer;Democrat;Hillary Clinton;29505;37465
Mercer;Republican;Donald Trump;455;20178
Mercer;Republican;Ted Cruz;1073;26620
Meriwether;Democrat;Hillary Clinton;1463;18821
Merrick;Republican;Donald Trump;775;24639
Mesa;Democrat;Bernie Sanders;1095;26700
Metcalfe;Democrat;Bernie Sanders;582;17171
Miami-Dade;Democrat;Hillary Clinton;129467;23174
Middlesex;Democrat;Hillary Clinton;47978;34345
Midland;Republican;Ted Cruz;4720;29536
Mifflin;Republican;Donald Trump;4310;20794
Miller;Republican;Donald Trump;555;19674
Miller;Republican;Donald Trump;2482;19385
Milwaukee;Democrat;Hillary Clinton;100932;24295
Miner;Democrat;Hillary Clinton;109;31288
Mineral;Democrat;Bernie Sanders;25;42255
Mineral;Republican;Donald Trump;638;19859
Mingo;Democrat;Bernie Sanders;2425;20609
Minidoka;Republican;Ted Cruz;1163;19597
Minnehaha;Democrat;Hillary Clinton;6018;26380
Missaukee;Republican;Donald Trump;1221;20305
Mississippi;Democrat;Hillary Clinton;2017;18905
Missoula;Democrat;Bernie Sanders;13271;25764
Mitchell;Democrat;Hillary Clinton;260;24518
Mitchell;Democrat;Hillary Clinton;1338;15694
Mitchell;Republican;Donald Trump;1775;21404
Mitchell;Republican;Ted Cruz;625;15936
Mobile;Democrat;Hillary Clinton;28927;22501
Modoc;Republican;Donald Trump;1019;21200
Moffat;Democrat;Bernie Sanders;28;24577
Mohave;Republican;Donald Trump;14154;20833
Mono;Democrat;Bernie Sanders;917;28046
Monongalia;Democrat;Bernie Sanders;8096;25846
Monroe;Democrat;Bernie Sanders;15166;23032
Monroe;Democrat;Hillary Clinton;843;16939
Monroe;Democrat;Hillary Clinton;1191;21487
Monroe;Democrat;Hillary Clinton;2438;15749
Monroe;Democrat;Hillary Clinton;37309;28732
Monroe;Republican;Donald Trump;805;16656
Monroe;Republican;Donald Trump;2262;22888
Monroe;Republican;Donald Trump;2602;18167
Monroe;Republican;Donald Trump;3272;31758
Monroe;Republican;Donald Trump;8802;25939
Monroe;Republican;Donald Trump;10016;25494
Monterey;Democrat;Hillary Clinton;17126;24775
Montezuma;Democrat;Bernie Sanders;412;23548
Montgomery;Democrat;Bernie Sanders;192;22868
Montgomery;Democrat;Bernie Sanders;1322;20436
Montgomery;Democrat;Bernie Sanders;5090;23548
Montgomery;Democrat;Hillary Clinton;953;15523
Montgomery;Democrat;Hillary Clinton;28650;24975
Montgomery;Democrat;Hillary Clinton;75333;41472
Montgomery;Democrat;Hillary Clinton;109304;49038
Montgomery;Republican;Donald Trump;672;19021
Montgomery;Republican;Donald Trump;712;16460
Montgomery;Republican;Donald Trump;1192;20991
Montgomery;Republican;Donald Trump;1432;18865
Montgomery;Republican;Donald Trump;2269;19917
Montgomery;Republican;Donald Trump;4412;22679
Montgomery;Republican;Donald Trump;6512;22380
Montgomery;Republican;John Kasich;39682;24997
Montour;Republican;Donald Trump;1744;29600
Montrose;Democrat;Bernie Sanders;258;22897
Moody;Democrat;Hillary Clinton;262;27682
Moore;Republican;Donald Trump;7347;28913
Moore;Republican;Ted Cruz;1282;19770
Mora;Democrat;Hillary Clinton;986;20543
Morehouse;Democrat;Hillary Clinton;1513;16683
Morgan;Democrat;Bernie Sanders;87;20680
