county;party;candidate;votes;income
Burke;Democrat;Hillary Clinton;1659;16171
Burke;Republican;Donald Trump;4985;19701
Burlington;Democrat;Hillary Clinton;32712;36835
Burnet;Republican;Ted Cruz;4026;24998
Burnett;Republican;Donald Trump;1628;22843
Butler;Democrat;Bernie Sanders;350;25269
Butler;Democrat;Hillary Clinton;2196;17403
Butler;Republican;Donald Trump;910;27673
Butler;Republican;Donald Trump;3652;19246
Butler;Republican;John Kasich;28606;26813
Butte;Republican;Donald Trump;1074;21744
Butte;Republican;Ted Cruz;275;20995
Butts;Republican;Donald Trump;1884;20363
Caddo;Democrat;Bernie Sanders;1543;17858
Caddo;Democrat;Hillary Clinton;16666;24308
Calaveras;Republican;Donald Trump;4902;29329
Calcasieu;Democrat;Hillary Clinton;6594;24355
Caldwell;Democrat;Bernie Sanders;866;20327
Caldwell;Republican;Donald Trump;284;22782
Caldwell;Republican;Donald Trump;780;21482
Caldwell;Republican;Ted Cruz;1993;19673
Calhoun;Democrat;Bernie Sanders;200;25766
Calhoun;Democrat;Bernie Sanders;503;26924
Calhoun;Democrat;Bernie Sanders;545;14675
Calhoun;Democrat;Bernie Sanders;803;18053
Calhoun;Democrat;Bernie Sanders;5810;22978
Calhoun;Democrat;Hillary Clinton;200;25766
Calhoun;Democrat;Hillary Clinton;413;17763
Calhoun;Democrat;Hillary Clinton;499;14868
Calhoun;Democrat;Hillary Clinton;1536;23023
Calhoun;Republican;Donald Trump;1323;17034
Calhoun;Republican;Donald Trump;8960;20828
Calhoun;Republican;Ted Cruz;1567;23381
Callaway;Republican;Ted Cruz;3261;23171
Calloway;Democrat;Bernie Sanders;2239;21490
Camas;Republican;Donald Trump;130;21830
Camden;Democrat;Hillary Clinton;43720;30592
Camden;Republican;Donald Trump;3065;22701
Camden;Republican;Donald Trump;5467;23038
Cameron;Democrat;Hillary Clinton;20326;14710
Camp;Republican;Ted Cruz;863;19176
Campbell;Democrat;Bernie Sanders;12;33850
Campbell;Democrat;Hillary Clinton;3169;26945
Campbell;Republican;Donald Trump;2198;16812
Canadian;Republican;Ted Cruz;8105;27552
Cannon;Republican;Donald Trump;1244;20566
Carbon;Democrat;Hillary Clinton;4;25947
Carbon;Republican;Donald Trump;1507;27599
Caribou;Republican;Ted Cruz;602;23586
Carlisle;Democrat;Bernie Sanders;462;21500
Caroline;Democrat;Hillary Clinton;1902;25718
Carroll;Democrat;Bernie Sanders;0;20637
Carroll;Democrat;Bernie Sanders;573;19429
Carroll;Democrat;Hillary Clinton;0;20637
Carroll;Democrat;Hillary Clinton;504;25430
Carroll;Republican;Donald Trump;1133;16897
Carroll;Republican;Donald Trump;1579;18330
Carroll;Republican;Donald Trump;2412;19385
Carroll;Republican;Donald Trump;2421;24531
Carroll;Republican;Donald Trump;2702;21783
Carroll;Republican;Donald Trump;7495;21227
Carroll;Republican;Ted Cruz;0;20637
Carson City;Republican;Donald Trump;1066;26264
Carter;Democrat;Bernie Sanders;1051;19204
Carter;Democrat;Bernie Sanders;2113;21476
Carter;Republican;Donald Trump;349;24921
Carter;Republican;Donald Trump;4266;19018
Carteret;Republican;Donald Trump;7077;27496
Cascade;Republican;Donald Trump;8129;24727
Casey;Republican;Donald Trump;1029;15603
Cass;Democrat;Hillary Clinton;300;25448
Cass;Republican;Donald Trump;680;22257
Cass;Republican;Donald Trump;1811;29638
Cass;Republican;Ted Cruz;2753;20104
Cass;Republican;Ted Cruz;7671;27463
Castro;Republican;Ted Cruz;496;19708
Caswell;Democrat;Hillary Clinton;1701;17975
Catahoula;Democrat;Hillary Clinton;431;19970
Catron;Republican;Donald Trump;501;20616
Cecil;Republican;Donald Trump;7348;29518
Cedar;Democrat;Bernie Sanders;445;26567
Cedar;Republican;Donald Trump;775;25738
Centre;Democrat;Bernie Sanders;10269;25545
Cerro Gordo;Democrat;Bernie Sanders;1108;27291
Chaffee;Democrat;Bernie Sanders;404;27182
Chambers;Democrat;Hillary Clinton;2899;19291
Chambers;Republican;Ted Cruz;3758;30140
Champaign;Democrat;Bernie Sanders;20581;25713
Champaign;Republican;John Kasich;3593;23358
Charles;Democrat;Hillary Clinton;15132;37277
Charles City;Democrat;Hillary Clinton;863;26198
Charleston;Democrat;Hillary Clinton;26535;30158
Charlevoix;Republican;Donald Trump;1886;26947
Charlotte;Republican;Donald Trump;16525;26286
Charlottesville;Democrat;Bernie Sanders;4474;27268
Chase;Republican;Donald Trump;476;28241
Chatham;Democrat;Hillary Clinton;7406;31175
Chatham;Democrat;Hillary Clinton;19898;25093
Chattahoochee;Democrat;Hillary Clinton;182;20042
Chattooga;Republican;Donald Trump;1674;16045
Cheatham;Republican;Donald Trump;2530;23459
Cheboygan;Republican;Donald Trump;2089;23412
Chelan;Republican;Donald Trump;5717;25893
Chemung;Republican;Donald Trump;3982;25329
Cherokee;Democrat;Bernie Sanders;2897;18582
Cherokee;Republican;Donald Trump;2777;22030
Cherokee;Republican;Ted Cruz;4562;18801
Cherry;Republican;Donald Trump;1220;25213
Chesapeake;Democrat;Hillary Clinton;16126;29905
Chester;Democrat;Hillary Clinton;1962;18098
Chester;Republican;Donald Trump;1023;18817
Chester;Republican;Donald Trump;35577;42210
Chesterfield;Democrat;Hillary Clinton;2209;17140
Chesterfield;Democrat;Hillary Clinton;22674;32572
Cheyenne;Democrat;Hillary Clinton;5;23647
Chickasaw;Democrat;Hillary Clinton;360;24139
Chickasaw;Democrat;Hillary Clinton;1398;16677
Chicot;Democrat;Hillary Clinton;1370;16538
Chilton;Republican;Donald Trump;5273;20701
Chippewa;Republican;Donald Trump;5832;24628
Choctaw;Democrat;Bernie Sanders;745;17739
Choctaw;Democrat;Hillary Clinton;1772;20323
Choctaw;Republican;Donald Trump;765;17145
Chowan;Democrat;Hillary Clinton;974;19240
Christian;Democrat;Hillary Clinton;2437;19773
Christian;Republican;Ted Cruz;10586;25134
Cibola;Democrat;Hillary Clinton;1586;16129
Clackamas;Democrat;Bernie Sanders;27969;32781
Claiborne;Democrat;Hillary Clinton;768;17512
Claiborne;Democrat;Hillary Clinton;1411;12177
Clallam;Republican;Donald Trump;6715;25865
Clare;Republican;Donald Trump;1996;18148
Clarendon;Democrat;Hillary Clinton;3564;17665
Clarion;Republican;Donald Trump;4224;21902
Clark;Democrat;Bernie Sanders;1888;24524
Clark;Democrat;Hillary Clinton;1650;17960
Clark;Republican;Donald Trump;179;27878
Clark;Republican;Donald Trump;2823;20754
Clark;Republican;Donald Trump;10635;24312
Clark;Republican;Donald Trump;20132;26217
Clark;Republican;John Kasich;10661;22780
Clarke;Democrat;Hillary Clinton;232;23472
Clarke;Democrat;Hillary Clinton;3148;18979
Clarke;Democrat;Hillary Clinton;7089;19295
Clatsop;Democrat;Bernie Sanders;3334;25680
Clay;Democrat;Bernie Sanders;303;29060
Clay;Democrat;Bernie Sanders;754;16740
Clay;Democrat;Hillary Clinton;297;12982
Clay;Democrat;Hillary Clinton;623;20595
Clay;Democrat;Hillary Clinton;960;18509
Clay;Democrat;Hillary Clinton;2372;18273
Clay;Republican;Donald Trump;600;16867
Clay;Republican;Donald Trump;702;23876
Clay;Republican;Donald Trump;887;13542
Clay;Republican;Donald Trump;1215;22081
Clay;Republican;Donald Trump;1294;22279
Clay;Republican;Donald Trump;3615;21474
Clay;Republican;Donald Trump;19374;26577
Clay;Republican;Ted Cruz;1425;25867
Clay;Republican;Ted Cruz;13559;29406
Clayton;Democrat;Bernie Sanders;408;25074
Clayton;Democrat;Hillary Clinton;25130;17950
Clear Creek;Democrat;Bernie Sanders;199;41716
Clearwater;Republican;Donald Trump;629;20256
Cleburne;Republican;Donald Trump;2530;23044
Cleveland;Democrat;Bernie Sanders;16428;26920
Cleveland;Democrat;Hillary Clinton;4880;20062
