"county","party","candidate","votes","households"
Fremont,Democrat,Bernie Sanders,268,16938
Lake,Democrat,Bernie Sanders,2704,26505
Merrick,Republican,Donald Trump,775,3316
Clarendon,Democrat,Hillary Clinton,3564,12690
Treasure,Republican,Donald Trump,143,332
Yell,Republican,Donald Trump,911,7917
Greene,Democrat,Hillary Clinton,1643,7104
Hughes,Democrat,Bernie Sanders,873,4920
Sac,Republican,Donald Trump,212,4435
Carroll,Republican,Ben Carson,0,11019
Allegheny,Democrat,Hillary Clinton,122399,526004
Kleberg,Democrat,Hillary Clinton,1738,11241
Monroe,Republican,Donald Trump,2262,9550
Indian River,Republican,Donald Trump,13678,58038
Kenton,Democrat,Hillary Clinton,5146,61800
Knox,Republican,Donald Trump,343,1724
Boundary,Republican,Ted Cruz,901,4144
Garrard,Republican,Donald Trump,581,6302
Gulf,Republican,Donald Trump,1038,5414
Clarke,Democrat,Hillary Clinton,7089,41358
Orange,Democrat,Bernie Sanders,18096,51403
Prince George,Democrat,Hillary Clinton,1992,10848
Delaware,Republican,Donald Trump,8793,46325
Webster,Democrat,Bernie Sanders,837,3928
Covington,Democrat,Hillary Clinton,244,2545
Benton,Republican,Donald Trump,2278,8225
Hayes,Republican,Donald Trump,103,477
Shelby,Republican,Ted Cruz,2069,8991
Richland,Republican,Donald Trump,1469,6620
Winston,Republican,Donald Trump,3352,9489
Custer,Republican,Donald Trump,1363,4986
Oklahoma,Democrat,Hillary Clinton,34255,285320
Andrew,Republican,Donald Trump,1457,6691
Warren,Republican,Donald Trump,1321,3283
DeKalb,Republican,Donald Trump,800,3769
Allegan,Republican,Ted Cruz,7530,41794
Hawaii,Democrat,Bernie Sanders,5605,64909
Douglas,Republican,Ted Cruz,1764,7509
Decatur,Republican,Donald Trump,3319,9792
Hamilton,Republican,Donald Trump,1030,3488
Tehama,Republican,Donald Trump,3940,23374
Jackson,Democrat,Hillary Clinton,15,648
Caldwell,Democrat,Bernie Sanders,866,5232
Douglas,Republican,Donald Trump,23754,204226
Suffolk,Democrat,Hillary Clinton,7533,30492
Sumter,Democrat,Hillary Clinton,1960,11493
Fulton,Democrat,Hillary Clinton,82576,368184
Washington,Democrat,Bernie Sanders,12,2019
Glascock,Republican,Donald Trump,405,1189
Kenedy,Democrat,Hillary Clinton,63,159
Howard,Republican,Donald Trump,534,2576
St. James,Democrat,Hillary Clinton,2114,7786
Sharp,Republican,Donald Trump,1241,7023
Colfax,Democrat,Hillary Clinton,949,5574
Hinsdale,Democrat,Bernie Sanders,10,388
Clark,Republican,Ted Cruz,62,304
Hood River,Democrat,Bernie Sanders,2527,8144
Bernalillo,Democrat,Bernie Sanders,38247,263135
Aurora,Democrat,Hillary Clinton,150,1102
Morrill,Republican,Donald Trump,695,2037
Haywood,Democrat,Bernie Sanders,3873,26608
East Baton Rouge,Democrat,Hillary Clinton,32960,167422
Schoolcraft,Republican,Donald Trump,529,3590
Knox,Democrat,Bernie Sanders,3168,21481
Laurel,Republican,Donald Trump,2313,22931
Fountain,Republican,Donald Trump,2742,6925
Lemhi,Republican,Donald Trump,757,3832
Willacy,Democrat,Hillary Clinton,2072,5499
Sweet Grass,Republican,Donald Trump,707,1304
Valencia,Democrat,Hillary Clinton,3123,26894
Lassen,Republican,Donald Trump,2508,9945
Union,Democrat,Hillary Clinton,40972,185483
Palm Beach,Democrat,Hillary Clinton,103369,526007
Crawford,Republican,Ted Cruz,3926,23368
Gloucester,Democrat,Hillary Clinton,17954,104145
Montmorency,Republican,Donald Trump,1046,4128
Hyde,Democrat,Hillary Clinton,459,2148
Washington,Democrat,Hillary Clinton,9110,79214
Johnson,Republican,Donald Trump,326,1926
Benton,Republican,Donald Trump,1175,3444
Randolph,Republican,Donald Trump,2939,10429
Routt,Democrat,Bernie Sanders,406,9647
Buchanan,Republican,Donald Trump,4691,33331
Sheridan,Democrat,Bernie Sanders,7,12381
Escambia,Republican,Donald Trump,2817,13681
Washington,Democrat,Hillary Clinton,1374,5056
Gilchrist,Republican,Donald Trump,1860,6240
Hampton,Democrat,Hillary Clinton,1930,7470
Iosco,Republican,Donald Trump,1973,11172
Montgomery,Democrat,Hillary Clinton,953,4229
Howard,Republican,Donald Trump,8475,34544
Chicot,Democrat,Hillary Clinton,1370,4510
Lenawee,Republican,Donald Trump,5167,37754
Macomb,Republican,Donald Trump,60492,332818
Monroe,Republican,Donald Trump,698,3497
Sumter,Democrat,Hillary Clinton,2987,5060
Henrico,Democrat,Hillary Clinton,28121,123683
Jim Hogg,Democrat,Hillary Clinton,1421,1805
Posey,Republican,Donald Trump,3159,10050
Walker,Republican,Donald Trump,8394,25751
Bertie,Democrat,Hillary Clinton,2065,7629
Grenada,Republican,Donald Trump,1727,7941
Logan,Republican,Donald Trump,1208,8233
Dallas,Democrat,Hillary Clinton,693,3269
Levy,Republican,Donald Trump,3745,15582
Antelope,Republican,Donald Trump,772,2855
Fairfax City,Democrat,Hillary Clinton,1840,8492
Wexford,Republican,Donald Trump,2578,12473
Clay,Democrat,Bernie Sanders,303,7148
Nelson,Democrat,Hillary Clinton,991,6404
Sunflower,Democrat,Hillary Clinton,2332,8394
Mora,Democrat,Hillary Clinton,986,1532
Tuolumne,Republican,Donald Trump,4949,22025
Park,Democrat,Bernie Sanders,8,11801
Pueblo,Democrat,Hillary Clinton,1260,62439
Leflore,Democrat,Hillary Clinton,2094,10887
Noxubee,Democrat,Hillary Clinton,1397,4194
Tangipahoa,Democrat,Hillary Clinton,4267,44418
Claiborne,Democrat,Hillary Clinton,768,5726
Box Butte,Republican,Donald Trump,1188,4860
Nassau,Democrat,Hillary Clinton,70947,441955
Allamakee,Democrat,Hillary Clinton,304,5862
Mesa,Democrat,Bernie Sanders,1095,58598
Caroline,Democrat,Hillary Clinton,1902,10680
Norfolk,Democrat,Hillary Clinton,15747,85557
Stark,Republican,Ted Cruz,448,2416
Schley,Republican,Donald Trump,331,1829
Muskogee,Democrat,Bernie Sanders,3515,26802
Greenlee,Democrat,Hillary Clinton,497,3386
Kootenai,Republican,Ted Cruz,11924,55679
Bladen,Democrat,Hillary Clinton,3442,14256
Sheridan,Democrat,Hillary Clinton,7,12381
Montcalm,Republican,Donald Trump,3051,23400
Adair,Democrat,Hillary Clinton,168,3295
Mercer,Democrat,Hillary Clinton,29505,130754
Moniteau,Republican,Ted Cruz,1374,5464
DeSoto,Republican,Ted Cruz,12300,57979
Westchester,Democrat,Hillary Clinton,69628,343561
St. John the Baptist,Democrat,Hillary Clinton,3818,15440
Citrus,Republican,Donald Trump,15232,60319
Guthrie,Democrat,Hillary Clinton,220,4641
Ashley,Democrat,Hillary Clinton,1375,8656
Jefferson,Democrat,Hillary Clinton,67357,259634
Harlan,Democrat,Bernie Sanders,1092,11343
Grant,Republican,Ted Cruz,1329,6855
Pulaski,Republican,Donald Trump,2802,15747
Richland,Republican,Donald Trump,1435,4270
Taylor,Republican,Donald Trump,550,3681
Platte,Republican,Donald Trump,2902,12477
Orange,Republican,Donald Trump,146888,995512
Union,Republican,Donald Trump,875,2943
Clinton,Republican,Donald Trump,3252,11745
Grant,Democrat,Hillary Clinton,2272,12216
Henry,Democrat,Bernie Sanders,958,6008
Coffee,Republican,Donald Trump,2469,14497
Marshall,Democrat,Hillary Clinton,287,1683
Lincoln,Democrat,Bernie Sanders,4674,20913
Pike,Republican,Donald Trump,1649,5149
Madison,Republican,Donald Trump,7540,36342
Worcester,Republican,Donald Trump,5808,20530
Kershaw,Democrat,Hillary Clinton,3743,24084
Sedgwick,Democrat,Hillary Clinton,13,943
Grand,Democrat,Bernie Sanders,187,5227
Canyon,Republican,Ted Cruz,11164,63442
DeSoto,Republican,Donald Trump,1445,10622
Holt,Republican,Donald Trump,1302,4469
Frederick,Republican,Donald Trump,15076,86337
Clark,Republican,Donald Trump,1484,6568
Whiteside,Democrat,Bernie Sanders,3102,23370
Clearwater,Republican,Donald Trump,629,3545
DeWitt,Republican,Donald Trump,1577,6802
Monona,Republican,Ted Cruz,185,3981
Fairfax,Democrat,Hillary Clinton,86898,389908
Keweenaw,Democrat,Bernie Sanders,188,1014
Alcona,Republican,Donald Trump,1111,4863
Sandoval,Democrat,Hillary Clinton,7448,47164
Jersey,Republican,Donald Trump,1902,8752
Geneva,Republican,Donald Trump,3106,10945
Tazewell,Republican,Ted Cruz,12085,54428
Kiowa,Democrat,Hillary Clinton,5,559
Martin,Republican,Donald Trump,586,4449
Washington,Republican,Ted Cruz,783,3938
Yolo,Democrat,Hillary Clinton,12567,70347
Bonner,Republican,Ted Cruz,3132,17388
Van Buren,Democrat,Bernie Sanders,3656,28374
Ulster,Democrat,Bernie Sanders,11572,69862
Warren,Democrat,Bernie Sanders,5365,44240
Brewster,Democrat,Bernie Sanders,771,4152
Williamsburg,Democrat,Hillary Clinton,4609,11621
Morgan,Republican,Donald Trump,2378,13926
Allen,Republican,Ted Cruz,29963,138212
Echols,Republican,Donald Trump,268,1382
Starr,Democrat,Hillary Clinton,6918,15949
Graham,Republican,Ted Cruz,1606,11031
Brooklyn,Democrat,Hillary Clinton,174236,916025
Fannin,Republican,Donald Trump,3001,9940
Poweshiek,Democrat,Bernie Sanders,475,7488
Greenup,Democrat,Bernie Sanders,1655,14465
San Bernardino,Democrat,Hillary Clinton,71246,603879
Crawford,Republican,Donald Trump,1162,4237
Lee,Democrat,Hillary Clinton,2207,6737
Bartow,Republican,Donald Trump,8281,34567
Franklin,Democrat,Bernie Sanders,2338,19238
Pitt,Democrat,Hillary Clinton,11856,66026
Hancock,Democrat,Bernie Sanders,573,3361
Banks,Republican,Donald Trump,1806,6772
Crawford,Republican,Ted Cruz,226,6300
Butte,Republican,Donald Trump,15695,84816
Issaquena,Democrat,Hillary Clinton,175,461
Rio Arriba,Democrat,Hillary Clinton,4915,14783
Guadalupe,Democrat,Hillary Clinton,399,1260
Adams,Democrat,Hillary Clinton,113,1745
Cuyahoga,Democrat,Hillary Clinton,125914,534476
Ripley,Republican,Donald Trump,1096,5544
Washington,Republican,Ted Cruz,542,8948
Allen,Republican,Donald Trump,640,8061
Santa Cruz,Democrat,Bernie Sanders,25171,93504
Ventura,Democrat,Hillary Clinton,45848,267076
Lincoln,Republican,Donald Trump,742,3394
Hamilton,Democrat,Hillary Clinton,353,6395
Terrell,Democrat,Hillary Clinton,67,403
Maricopa,Republican,Donald Trump,144522,1411727
Logan,Democrat,Hillary Clinton,77,8015
Butler,Republican,Donald Trump,3652,17085
Meagher,Republican,Donald Trump,394,716
Itawamba,Republican,Donald Trump,1905,8859
Clark,Republican,Donald Trump,10635,42502
Adair,Republican,Donald Trump,1512,7241
West Carroll,Republican,Ted Cruz,342,4130
Apache,Democrat,Hillary Clinton,4450,19055
Chesterfield,Democrat,Hillary Clinton,2209,17622
Hoke,Democrat,Hillary Clinton,3528,16161
Richland,Democrat,Bernie Sanders,1784,7343
Lee,Republican,Donald Trump,2153,13504
Appanoose,Republican,Donald Trump,292,5534
Gunnison,Democrat,Bernie Sanders,481,6293
Jackson,Republican,Donald Trump,582,5712
Wayne,Republican,Donald Trump,805,8083
Surry,Democrat,Hillary Clinton,812,2602
Barton,Republican,Ted Cruz,1560,5065
Fayette,Republican,Donald Trump,2479,6956
Grant,Republican,Donald Trump,722,7340
Lewis,Republican,Donald Trump,801,3936
Passaic,Democrat,Hillary Clinton,29538,162543
Kossuth,Democrat,Hillary Clinton,360,6728
Clay,Republican,Donald Trump,1920,5649
Clay,Republican,Donald Trump,19374,67805
Chickasaw,Democrat,Hillary Clinton,360,5364
Love,Democrat,Bernie Sanders,502,3378
Dade,Republican,Donald Trump,1151,6325
Macon,Republican,Donald Trump,1489,6389
LaRue,Democrat,Bernie Sanders,910,5221
Decatur,Republican,Ted Cruz,173,3106
Audubon,Democrat,Hillary Clinton,187,2684
Montgomery,Republican,Donald Trump,672,3873
Prince Edward,Democrat,Hillary Clinton,1366,7453
Columbia,Republican,Donald Trump,9177,43975
St. Francois,Republican,Donald Trump,4061,24654
Boyle,Democrat,Hillary Clinton,1648,11100
Mitchell,Democrat,Hillary Clinton,1338,8131
Orange,Democrat,Hillary Clinton,66654,415790
Ste. Genevieve,Republican,Donald Trump,1080,7235
Alamance,Democrat,Hillary Clinton,7374,60139
Cumberland,Republican,Ted Cruz,1081,4184
Ashland,Democrat,Bernie Sanders,2304,6775
Pike,Republican,Donald Trump,1241,6559
Huron,Republican,Donald Trump,2346,13907
Madison,Republican,Ted Cruz,452,6092
Union,Republican,Donald Trump,2169,10322
St. Martin,Democrat,Hillary Clinton,1869,18756
Teton,Republican,Donald Trump,882,2303
Oceana,Republican,Ted Cruz,1698,9537
Lanier,Republican,Donald Trump,512,3725
McDowell,Democrat,Bernie Sanders,1453,8229
Delaware,Democrat,Hillary Clinton,44775,204771
Plymouth,Republican,Donald Trump,618,9867
Osceola,Democrat,Hillary Clinton,16512,90413
Tippah,Republican,Donald Trump,1951,8472
Charles,Democrat,Hillary Clinton,15132,51247
Arapahoe,Democrat,Bernie Sanders,6086,225552
Pittsburg,Democrat,Bernie Sanders,3026,18456
Owen,Democrat,Bernie Sanders,720,4601
Centre,Democrat,Bernie Sanders,10269,57197
Lawrence,Republican,Donald Trump,3604,13382
Hancock,Republican,Donald Trump,4147,18145
Washington,Republican,Donald Trump,11970,55960
Acadia,Democrat,Hillary Clinton,1862,22527
Jackson,Republican,Donald Trump,5362,16713
Wheatland,Republican,Donald Trump,380,817
Yuma,Democrat,Hillary Clinton,45,3811
Vance,Democrat,Hillary Clinton,4561,16640
Sarasota,Republican,Donald Trump,34593,170555
St. Landry,Democrat,Hillary Clinton,4606,30935
LaSalle,Republican,Donald Trump,6950,44257
Miami,Republican,Donald Trump,3286,13210
Tyrrell,Democrat,Hillary Clinton,266,1480
St. Johns,Republican,Donald Trump,24205,75558
Howell,Republican,Donald Trump,4230,15796
McDuffie,Republican,Donald Trump,1288,8143
Halifax,Democrat,Hillary Clinton,6224,21550
Fayette,Democrat,Hillary Clinton,525,8328
Miller,Republican,Donald Trump,555,2458
McLean,Republican,Ted Cruz,13085,64016
Kendall,Democrat,Bernie Sanders,7482,38075
Prowers,Democrat,Hillary Clinton,40,4935
Sullivan,Republican,Donald Trump,2379,7764
Shelby,Democrat,Hillary Clinton,66465,343517
Maries,Republican,Donald Trump,958,3749
Caldwell,Republican,Donald Trump,284,3935
Nance,Republican,Donald Trump,310,1534
Tift,Republican,Donald Trump,2697,13691
Hart,Republican,Donald Trump,1858,10009
Adair,Democrat,Bernie Sanders,971,8046
Simpson,Democrat,Hillary Clinton,708,6737
Roosevelt,Republican,Donald Trump,712,3264
Morgan,Republican,Donald Trump,1656,6513
Ontonagon,Republican,Donald Trump,519,3269
Union,Democrat,Hillary Clinton,822,8532
Newaygo,Republican,Ted Cruz,3557,18156
Pulaski,Democrat,Hillary Clinton,34862,153720
Van Buren,Republican,Donald Trump,1198,7063
Mineral,Democrat,Bernie Sanders,25,393
Clinton,Republican,Donald Trump,1635,8089
Fayette,Republican,Donald Trump,8055,37930
Hernando,Republican,Donald Trump,15479,70210
Brooke,Democrat,Bernie Sanders,1966,9968
Hillsborough,Democrat,Hillary Clinton,68936,471340
Madison,Democrat,Hillary Clinton,4351,35713
Montgomery,Republican,Donald Trump,1192,5091
Middlesex,Democrat,Hillary Clinton,47978,280988
Nevada,Democrat,Bernie Sanders,8472,40991
Sullivan,Democrat,Bernie Sanders,2671,29531
St. Louis County,Democrat,Hillary Clinton,89373,403293
Scott,Democrat,Bernie Sanders,4144,67049
Liberty,Republican,Donald Trump,387,847
Audrain,Republican,Ted Cruz,1642,9327
Pulaski,Republican,Donald Trump,1668,5058
Palo Alto,Democrat,Hillary Clinton,213,3948
Oglethorpe,Republican,Donald Trump,1230,5201
Story,Democrat,Bernie Sanders,2737,35196
Taylor,Democrat,Hillary Clinton,140,2764
Emmet,Democrat,Hillary Clinton,168,4119
Rockdale,Democrat,Hillary Clinton,7930,29317
Baldwin,Republican,Donald Trump,23618,73283
Lane,Democrat,Bernie Sanders,41883,144912
Carter,Democrat,Bernie Sanders,2113,17411
Monroe,Democrat,Hillary Clinton,1191,6111
Marquette,Democrat,Bernie Sanders,5530,26436
Contra Costa,Democrat,Hillary Clinton,69809,375855
Okfuskee,Democrat,Bernie Sanders,596,4246
Manassas Park,Democrat,Hillary Clinton,581,4435
Desha,Democrat,Hillary Clinton,1342,5305
Ravalli,Republican,Donald Trump,6281,16848
Chester,Democrat,Hillary Clinton,1962,12368
Gilmer,Democrat,Bernie Sanders,643,2590
Sabine,Republican,Ted Cruz,728,9175
Cherokee,Democrat,Bernie Sanders,2897,16875
Knox,Republican,Donald Trump,4918,14738
Van Buren,Republican,Ted Cruz,196,3023
Assumption,Democrat,Hillary Clinton,1139,8571
Rock Island,Democrat,Hillary Clinton,10216,60456
Putnam,Republican,Donald Trump,1983,8457
Conecuh,Democrat,Hillary Clinton,2031,4994
Cedar,Democrat,Bernie Sanders,445,7665
Anderson,Democrat,Bernie Sanders,1649,8323
Nevada,Democrat,Hillary Clinton,647,3622
Roger Mills,Democrat,Bernie Sanders,268,1305
Switzerland,Republican,Donald Trump,858,4099
Oscoda,Republican,Donald Trump,705,3781
Navajo,Democrat,Hillary Clinton,4415,34343
Portsmouth,Democrat,Hillary Clinton,9464,36690
Montgomery,Democrat,Hillary Clinton,109304,360563
Kalkaska,Republican,Donald Trump,1724,7035
Sussex,Democrat,Hillary Clinton,958,3704
Lyon,Republican,Ted Cruz,432,4425
Lamar,Republican,Donald Trump,1810,6084
Cherry,Republican,Donald Trump,1220,2618
San Joaquin,Democrat,Hillary Clinton,25118,215563
Wayne,Republican,Donald Trump,2075,7063
Treutlen,Republican,Donald Trump,437,2515
Hill,Republican,Donald Trump,1342,6139
Queen Anne's,Republican,Donald Trump,5195,17292
Santa Barbara,Democrat,Hillary Clinton,23543,141720
Randolph,Republican,Donald Trump,1887,8925
Oglala Lakota,Democrat,Bernie Sanders,574,2867
Bradford,Republican,Donald Trump,1802,8857
Madison,Republican,Donald Trump,2280,13867
Broadwater,Republican,Donald Trump,1001,2421
Isabella,Democrat,Bernie Sanders,4024,24817
Rush,Republican,Donald Trump,2362,6874
Pulaski,Republican,Donald Trump,436,2419
La Crosse,Democrat,Bernie Sanders,15139,45949
Taylor,Democrat,Hillary Clinton,949,9708
Butler,Republican,Donald Trump,910,3482
Etowah,Republican,Donald Trump,8657,40217
Franklin,Republican,Donald Trump,761,3311
Madison,Democrat,Hillary Clinton,1085,6048
Jones,Republican,Donald Trump,6388,24677
Webster,Democrat,Hillary Clinton,1878,15980
Fulton,Republican,Donald Trump,2556,8221
Wilkes,Republican,Donald Trump,734,4083
Pinal,Republican,Donald Trump,12182,123733
Kent,Democrat,Hillary Clinton,1460,7498
Trempealeau,Democrat,Bernie Sanders,2429,11745
Montgomery,Democrat,Bernie Sanders,192,4553
Hardeman,Democrat,Hillary Clinton,1721,8690
Gila,Republican,Donald Trump,3065,20601
Franklin,Democrat,Hillary Clinton,4951,23313
Sequoyah,Democrat,Bernie Sanders,1872,15624
Otero,Democrat,Bernie Sanders,94,7427
Kit Carson,Democrat,Bernie Sanders,16,3046
Powder River,Republican,Donald Trump,516,720
Richmond,Democrat,Hillary Clinton,333,2853
Lincoln,Democrat,Hillary Clinton,3,6245
Carroll,Republican,Donald Trump,2421,7995
Grundy,Republican,Donald Trump,978,4148
Laurens,Republican,Donald Trump,3088,17632
Del Norte,Republican,Donald Trump,1536,9593
La Salle,Democrat,Hillary Clinton,557,1864
Dillon,Democrat,Hillary Clinton,1615,11744
Nez Perce,Republican,Ted Cruz,1583,16019
Haskell,Democrat,Bernie Sanders,752,4713
Crittenden,Democrat,Hillary Clinton,3379,18309
Baldwin,Democrat,Hillary Clinton,3034,16338
Uinta,Democrat,Bernie Sanders,5,7290
Carroll,Democrat,Bernie Sanders,0,11019
Gwinnett,Democrat,Hillary Clinton,37465,266952
Pointe Coupee,Democrat,Hillary Clinton,1680,8818
Teller,Democrat,Bernie Sanders,219,9434
Honolulu,Democrat,Bernie Sanders,11458,309803
Baxter,Republican,Donald Trump,3798,18155
Grant,Democrat,Bernie Sanders,4484,19420
Southampton,Democrat,Hillary Clinton,1199,6708
Gasconade,Republican,Donald Trump,1429,6168
Sumter,Republican,Donald Trump,17769,43507
Calhoun,Republican,Donald Trump,8960,45196
Livingston,Republican,Donald Trump,4918,46246
Vermilion,Republican,Donald Trump,5021,31575
Burke,Democrat,Hillary Clinton,1659,7881
Hillsdale,Republican,Donald Trump,3060,17642
Latimer,Democrat,Bernie Sanders,852,4160
Zavala,Democrat,Hillary Clinton,1557,3654
McCracken,Democrat,Bernie Sanders,3541,27037
Gosper,Republican,Donald Trump,259,767
Atkinson,Republican,Donald Trump,619,2758
Christian,Republican,Donald Trump,2392,14138
Arlington,Democrat,Hillary Clinton,25561,94454
Clayton,Democrat,Hillary Clinton,25130,86274
Madison,Democrat,Hillary Clinton,1542,6739
Nassau,Republican,Donald Trump,9192,28044
Falls Church,Democrat,Hillary Clinton,1587,5020
Linn,Democrat,Bernie Sanders,6331,86052
Manatee,Republican,Donald Trump,26320,131197
Mecklenburg,Democrat,Hillary Clinton,1588,12650
Johnson,Democrat,Bernie Sanders,5473,54005
Dawson,Republican,Donald Trump,1685,3885
Alexandria,Democrat,Hillary Clinton,16281,65369
Pike,Democrat,Hillary Clinton,2870,14614
Des Moines,Democrat,Bernie Sanders,1066,16993
Prentiss,Republican,Donald Trump,1597,9611
Montezuma,Democrat,Bernie Sanders,412,10688
Toombs,Republican,Donald Trump,1513,10310
Cherokee,Republican,Donald Trump,2777,11656
Howard,Democrat,Bernie Sanders,215,3884
Perry,Republican,Donald Trump,1561,7511
Loup,Republican,Donald Trump,101,240
Rockland,Democrat,Hillary Clinton,16966,98326
Campbell,Democrat,Bernie Sanders,12,17108
Lawrence,Democrat,Hillary Clinton,933,6580
Seminole,Republican,Donald Trump,25763,147529
Niobrara,Democrat,Bernie Sanders,2,1045
Ionia,Democrat,Bernie Sanders,2812,22152
Pasquotank,Democrat,Hillary Clinton,2471,14399
Steuben,Republican,Donald Trump,3973,13514
Douglas,Democrat,Bernie Sanders,4510,18933
Bamberg,Democrat,Hillary Clinton,1715,5883
Red River,Democrat,Hillary Clinton,530,3320
Mineral,Republican,Donald Trump,638,1629
Cotton,Democrat,Bernie Sanders,388,2345
Bryan,Republican,Donald Trump,2214,11230
Johnston,Democrat,Bernie Sanders,606,4248
Kent,Democrat,Bernie Sanders,43375,229373
Calhoun,Democrat,Hillary Clinton,499,1804
DeSoto,Democrat,Hillary Clinton,1508,10270
Valley,Republican,Donald Trump,1250,3248
Elliott,Democrat,Bernie Sanders,443,2618
Jasper,Democrat,Hillary Clinton,2194,8563
Elkhart,Republican,Ted Cruz,16204,70130
Johnson,Democrat,Bernie Sanders,1,3679
Boone,Republican,Donald Trump,3816,17938
Scotland,Republican,Donald Trump,395,1915
Weston,Democrat,Bernie Sanders,1,2975
Webb,Democrat,Hillary Clinton,18559,67372
Mercer,Republican,Donald Trump,455,1575
Newton,Republican,Donald Trump,1073,3507
San Benito,Democrat,Hillary Clinton,2022,16995
Liberty,Democrat,Hillary Clinton,2783,23046
San Diego,Democrat,Hillary Clinton,139813,1076483
Avoyelles,Democrat,Hillary Clinton,1181,15332
Elmore,Republican,Donald Trump,8525,28324
Swain,Democrat,Bernie Sanders,831,5368
Blackford,Republican,Donald Trump,1019,5190
Charlottesville,Democrat,Bernie Sanders,4474,17443
Columbus,Democrat,Hillary Clinton,3628,21758
Glacier,Democrat,Bernie Sanders,1074,4194
Boone,Democrat,Bernie Sanders,715,10574
Scott,Republican,Donald Trump,3373,15169
Christian,Democrat,Hillary Clinton,2437,25899
Corson,Democrat,Bernie Sanders,148,1185
Lewis,Republican,Donald Trump,522,5003
Chariton,Republican,Donald Trump,597,2958
Taylor,Republican,Donald Trump,140,2764
Shelby,Democrat,Hillary Clinton,2195,15469
Bartholomew,Republican,Donald Trump,7918,30041
Humboldt,Republican,Donald Trump,204,4222
Jim Wells,Democrat,Hillary Clinton,4688,13728
Campbell,Democrat,Hillary Clinton,3169,35203
Murray,Democrat,Bernie Sanders,909,5121
Darlington,Democrat,Hillary Clinton,4988,26609
Coahoma,Democrat,Hillary Clinton,2301,9464
Tate,Republican,Ted Cruz,2034,9936
Musselshell,Republican,Donald Trump,1032,1966
Fremont,Republican,Donald Trump,182,2965
Pike,Republican,Donald Trump,511,4325
Lewis and Clark,Republican,Donald Trump,6194,26555
Marion,Republican,Donald Trump,473,3000
Polk,Republican,Donald Trump,33187,219540
Beaufort,Democrat,Hillary Clinton,9945,64417
Concordia,Democrat,Hillary Clinton,1830,7642
Lincoln,Democrat,Hillary Clinton,20,1845
Santa Fe,Democrat,Hillary Clinton,16087,61012
Marion,Democrat,Bernie Sanders,5324,22593
Russell,Republican,Donald Trump,1106,7270
Parke,Republican,Donald Trump,1996,5893
Lowndes,Democrat,Hillary Clinton,4030,23178
Wayne,Democrat,Hillary Clinton,163886,670987
Buncombe,Democrat,Bernie Sanders,30913,100838
Granite,Republican,Donald Trump,487,1473
Hickory,Republican,Donald Trump,297,4219
Hidalgo,Democrat,Hillary Clinton,515,1837
Cameron,Republican,Donald Trump,216,2529
Franklin,Republican,Donald Trump,1229,6769
Costilla,Democrat,Hillary Clinton,64,1361
Fillmore,Republican,Donald Trump,574,2444
Otoe,Republican,Donald Trump,1255,6438
Richland,Democrat,Hillary Clinton,39243,143874
Jasper,Republican,Ted Cruz,11113,44849
Pemiscot,Republican,Donald Trump,1155,6941
Lafayette,Democrat,Bernie Sanders,1330,6605
Johnson,Republican,Donald Trump,1075,9154
Dixie,Republican,Donald Trump,1103,6130
Johnson,Democrat,Hillary Clinton,1,3679
Kings,Republican,Donald Trump,7046,40785
White,Republican,Donald Trump,2715,11788
Washington,Democrat,Hillary Clinton,1511,6620
Calhoun,Democrat,Bernie Sanders,545,4696
Dubois,Republican,Donald Trump,4692,15890
Sheridan,Republican,Donald Trump,499,1612
Glynn,Republican,Donald Trump,5516,31547
Catoosa,Republican,Donald Trump,4449,23941
Huerfano,Democrat,Bernie Sanders,150,3059
Lucas,Democrat,Hillary Clinton,32137,178101
Hancock,Republican,Donald Trump,9520,26071
Inyo,Republican,Donald Trump,1414,7873
Miller,Republican,Ted Cruz,2741,16950
Oakland,Democrat,Hillary Clinton,92296,486332
Barren,Democrat,Bernie Sanders,2653,16584
Mariposa,Republican,Donald Trump,1940,7238
Durham,Democrat,Hillary Clinton,35845,111276
Lake,Republican,Donald Trump,803,4096
McIntosh,Republican,Donald Trump,1078,4993
Nicholas,Democrat,Bernie Sanders,420,2884
Lamar,Republican,Donald Trump,5197,21678
Lake,Democrat,Hillary Clinton,43091,182080
Randolph,Democrat,Bernie Sanders,2492,11163
Kankakee,Republican,Donald Trump,6403,41245
Fremont,Republican,Ted Cruz,1434,4549
Hale,Democrat,Hillary Clinton,2426,5969
Wheeler,Republican,Donald Trump,283,2096
Holmes,Republican,Donald Trump,1239,6808
Washington,Democrat,Bernie Sanders,41841,201771
White,Republican,Donald Trump,3044,9541
Dundy,Republican,Donald Trump,219,893
Kearney,Republican,Donald Trump,614,2621
Cook,Republican,Donald Trump,1229,6308
Autauga,Republican,Donald Trump,5387,20071
Idaho County,Republican,Donald Trump,1668,6534
Carlisle,Democrat,Bernie Sanders,462,2034
Suwannee,Republican,Donald Trump,2844,15712
Green,Democrat,Bernie Sanders,4359,14640
Jeff Davis,Democrat,Hillary Clinton,738,11634
Mercer,Democrat,Bernie Sanders,1331,8745
JoDaviess,Republican,Donald Trump,1666,9616
Macon,Republican,Donald Trump,6655,45142
Brookings,Democrat,Hillary Clinton,955,11979
Franklin,Democrat,Hillary Clinton,650,7704
