"county","party","candidate","votes","households"
Franklin,Republican,Donald Trump,2155,12437
Cherokee,Republican,Donald Trump,18460,76144
Henry,Republican,Donald Trump,1778,7001
Morgan,Republican,Donald Trump,10909,46192
Guilford,Democrat,Hillary Clinton,37880,196463
Silver Bow,Democrat,Hillary Clinton,4089,15042
Mississippi,Republican,Donald Trump,970,5227
Edwards,Republican,Donald Trump,867,2728
Manistee,Democrat,Bernie Sanders,1646,10571
Martinsville,Democrat,Hillary Clinton,834,5995
Mitchell,Democrat,Hillary Clinton,260,4389
Wright,Democrat,Hillary Clinton,273,5367
Marshall,Republican,Ted Cruz,1095,5021
Leake,Democrat,Hillary Clinton,1614,8069
Lincoln,Democrat,Bernie Sanders,3,6245
Knox,Republican,Donald Trump,1285,12350
Gentry,Republican,Donald Trump,435,2800
Stephenson,Republican,Ted Cruz,3038,19408
Fluvanna,Democrat,Hillary Clinton,1355,9462
Chesapeake,Democrat,Hillary Clinton,16126,79421
Park,Republican,Donald Trump,1901,6445
Morgan,Republican,Donald Trump,10235,25621
Duplin,Democrat,Hillary Clinton,3036,22052
Bourbon,Democrat,Hillary Clinton,1109,7865
Madison,Democrat,Hillary Clinton,722,4068
Hall,Republican,Donald Trump,3818,22168
Russell,Democrat,Hillary Clinton,4381,21142
Wayne,Republican,Ted Cruz,171,2589
Lafayette,Republican,Donald Trump,2518,13117
Grayson,Republican,Donald Trump,749,9897
Beadle,Democrat,Hillary Clinton,501,7343
Glades,Republican,Donald Trump,632,3843
Grand,Democrat,Bernie Sanders,636,3633
Emmet,Democrat,Bernie Sanders,2589,13545
Pike,Republican,Donald Trump,2493,12959
Albany,Democrat,Bernie Sanders,20422,122700
Hooker,Republican,Donald Trump,119,295
Ogemaw,Republican,Donald Trump,1612,8998
Jasper,Democrat,Hillary Clinton,1976,7015
Holmes,Democrat,Hillary Clinton,3301,6511
Fleming,Democrat,Bernie Sanders,806,5539
Franklin,Republican,Donald Trump,9080,39263
Jennings,Republican,Donald Trump,3361,10632
Trinity,Republican,Donald Trump,1026,5668
White,Republican,Ted Cruz,4395,29632
Clinton,Democrat,Bernie Sanders,4524,28534
Frontier,Republican,Donald Trump,315,1086
Schuyler,Republican,Donald Trump,697,3056
Montgomery,Republican,Donald Trump,712,3185
Clatsop,Democrat,Bernie Sanders,3334,15749
Somerset,Democrat,Hillary Clinton,19667,115531
